2026-02-04 17:55:13,639 | WARNING | signals_combiner | No signal function found for MACDFIX
2026-02-04 17:55:13,641 | WARNING | signals_combiner | No signal function found for PLUS_DM
2026-02-04 17:55:13,652 | WARNING | signals_combiner | Error calling AVGPRICE: avgprice_signal() missing 1 required positional argument: 'close'
2026-02-04 17:55:13,704 | WARNING | signals_combiner | No signal function found for ADD
2026-02-04 17:55:13,706 | WARNING | signals_combiner | No signal function found for SUM
2026-02-04 17:55:13,705 | WARNING | signals_combiner | No signal function found for MIN
2026-02-04 17:55:13,705 | WARNING | signals_combiner | No signal function found for SUB
2026-02-04 17:55:13,705 | WARNING | signals_combiner | No signal function found for DIV
2026-02-04 17:55:33,027 | WARNING | signals_combiner | Error calling SAREXT: SAREXT() got an unexpected keyword argument 'startValue'
2026-02-04 17:55:33,033 | WARNING | signals_combiner | Error calling BOP: bop_signal() missing 2 required positional arguments: 'low' and 'close_'
2026-02-04 17:55:33,046 | WARNING | signals_combiner | No signal function found for PLUS_DM
2026-02-04 17:55:33,118 | WARNING | signals_combiner | No signal function found for ADD
2026-02-04 17:55:33,119 | WARNING | signals_combiner | No signal function found for DIV
2026-02-04 17:55:33,119 | WARNING | signals_combiner | No signal function found for MIN
2026-02-04 17:55:33,119 | WARNING | signals_combiner | No signal function found for MININDEX
2026-02-04 17:55:33,119 | WARNING | signals_combiner | No signal function found for SUB
2026-02-04 17:55:33,121 | WARNING | signals_combiner | No signal function found for SUM
2026-02-04 17:55:51,326 | WARNING | signals_combiner | Error calling SAREXT: SAREXT() got an unexpected keyword argument 'startValue'
2026-02-04 17:55:51,330 | WARNING | signals_combiner | No signal function found for MACDFIX
2026-02-04 17:55:51,348 | WARNING | signals_combiner | Error calling AVGPRICE: avgprice_signal() missing 1 required positional argument: 'close'
2026-02-04 17:55:51,426 | WARNING | signals_combiner | No signal function found for BETA
2026-02-04 17:55:51,440 | WARNING | signals_combiner | No signal function found for MAX
2026-02-04 17:55:51,440 | WARNING | signals_combiner | No signal function found for MIN
2026-02-04 17:55:51,440 | WARNING | signals_combiner | No signal function found for MININDEX
2026-02-04 17:55:51,442 | WARNING | signals_combiner | No signal function found for MULT
2026-02-04 17:55:51,442 | WARNING | signals_combiner | No signal function found for SUM
2026-02-04 17:56:06,844 | WARNING | signals_combiner | Error calling SAREXT: SAREXT() got an unexpected keyword argument 'startValue'
2026-02-04 17:56:06,862 | WARNING | signals_combiner | No signal function found for PLUS_DM
2026-02-04 17:56:06,915 | WARNING | signals_combiner | No signal function found for BETA
2026-02-04 17:56:06,924 | WARNING | signals_combiner | No signal function found for ADD
2026-02-04 17:56:06,924 | WARNING | signals_combiner | No signal function found for MAXINDEX
2026-02-04 17:56:06,924 | WARNING | signals_combiner | No signal function found for MIN
2026-02-04 17:56:06,925 | WARNING | signals_combiner | No signal function found for MININDEX
2026-02-04 17:56:22,593 | WARNING | signals_combiner | Error calling SAREXT: SAREXT() got an unexpected keyword argument 'startValue'
2026-02-04 17:56:22,605 | WARNING | signals_combiner | No signal function found for PLUS_DM
2026-02-04 17:56:22,612 | WARNING | signals_combiner | Error calling AVGPRICE: avgprice_signal() missing 1 required positional argument: 'close'
2026-02-04 17:56:22,638 | WARNING | signals_combiner | No signal function found for BETA
2026-02-04 17:56:22,638 | WARNING | signals_combiner | No signal function found for CORREL
2026-02-04 17:56:22,644 | WARNING | signals_combiner | No signal function found for MAXINDEX
2026-02-04 17:56:22,645 | WARNING | signals_combiner | No signal function found for MININDEX
2026-02-04 17:56:22,645 | WARNING | signals_combiner | No signal function found for SUB
2026-02-04 17:56:22,645 | WARNING | signals_combiner | No signal function found for SUM
