2026-01-19 17:48:05,841 | INFO | bybit_main | RAW data fetched for xrp: 1000 rows
2026-01-19 17:48:05,853 | INFO | bybit_main | OHLCV cleaning completed.
2026-01-19 17:48:05,991 | INFO | bybit_main | Saved cleaned data to table: data_bybit.xrp_1m
2026-01-19 17:48:05,992 | INFO | bybit_main | Processing symbol: doge
2026-01-19 17:48:06,228 | INFO | bybit_main | Found existing data for doge. Setting start_date=2026-01-19
2026-01-19 17:48:07,019 | INFO | bybit_main | RAW data fetched for doge: 1000 rows
2026-01-19 17:48:07,030 | INFO | bybit_main | OHLCV cleaning completed.
2026-01-19 17:48:07,169 | INFO | bybit_main | Saved cleaned data to table: data_bybit.doge_1m
2026-01-19 17:48:07,170 | INFO | bybit_main | Processing symbol: sol
2026-01-19 17:48:07,415 | INFO | bybit_main | Found existing data for sol. Setting start_date=2026-01-19
2026-01-19 17:48:07,975 | INFO | bybit_main | RAW data fetched for sol: 1000 rows
2026-01-19 17:48:07,987 | INFO | bybit_main | OHLCV cleaning completed.
2026-01-19 17:48:08,123 | INFO | bybit_main | Saved cleaned data to table: data_bybit.sol_1m
2026-01-19 17:48:08,123 | INFO | bybit_main | Processing symbol: dot
2026-01-19 17:48:08,355 | INFO | bybit_main | Found existing data for dot. Setting start_date=2026-01-19
2026-01-19 17:48:08,914 | INFO | bybit_main | RAW data fetched for dot: 1000 rows
2026-01-19 17:48:08,926 | INFO | bybit_main | OHLCV cleaning completed.
2026-01-19 17:48:09,101 | INFO | bybit_main | Saved cleaned data to table: data_bybit.dot_1m
2026-01-19 17:48:09,101 | INFO | bybit_main | Processing symbol: matic
2026-01-19 17:48:09,104 | INFO | bybit_main | No existing data found for matic. Using start_date=2026-01-19
2026-01-19 17:48:09,390 | WARNING | bybit_main | No data fetched for matic. Skipping.
2026-01-19 17:48:09,391 | INFO | bybit_main | Processing symbol: link
2026-01-19 17:48:09,614 | INFO | bybit_main | Found existing data for link. Setting start_date=2026-01-19
2026-01-19 17:48:10,408 | INFO | bybit_main | RAW data fetched for link: 1000 rows
2026-01-19 17:48:10,418 | INFO | bybit_main | OHLCV cleaning completed.
2026-01-19 17:48:10,579 | INFO | bybit_main | Saved cleaned data to table: data_bybit.link_1m
2026-01-19 17:48:10,580 | INFO | bybit_main | Bybit data ingestion pipeline completed successfully.
2026-01-20 09:48:25,309 | INFO | bybit_main | Processing symbol: btc
2026-01-20 09:48:26,469 | INFO | bybit_main | Found existing data for btc. Setting start_date=2026-01-19
2026-01-20 09:48:27,821 | INFO | bybit_main | RAW data fetched for btc: 2000 rows
2026-01-20 09:48:27,839 | INFO | bybit_main | OHLCV cleaning completed.
2026-01-20 09:48:28,621 | INFO | bybit_main | Saved cleaned data to table: data_bybit.btc_1m
2026-01-20 09:48:28,621 | INFO | bybit_main | Processing symbol: eth
2026-01-20 09:48:29,653 | INFO | bybit_main | Found existing data for eth. Setting start_date=2026-01-19
2026-01-20 09:48:30,468 | INFO | bybit_main | RAW data fetched for eth: 2000 rows
