2026-03-27 10:01:13,591 | INFO | data_pipeline | [make_stationary] 'MIDPRICE_14' became stationary after 1 diff(s)  (p=0.0000).
2026-03-27 10:01:16,693 | INFO | data_pipeline | [make_stationary] 'SAR' became stationary after 1 diff(s)  (p=0.0000).
2026-03-27 10:01:19,698 | INFO | data_pipeline | [make_stationary] 'SMA_14' became stationary after 1 diff(s)  (p=0.0000).
2026-03-27 10:01:22,513 | INFO | data_pipeline | [make_stationary] 'T3_14' became stationary after 1 diff(s)  (p=0.0000).
2026-03-27 10:01:25,313 | INFO | data_pipeline | [make_stationary] 'TEMA_14' became stationary after 1 diff(s)  (p=0.0000).
2026-03-27 10:01:28,220 | INFO | data_pipeline | [make_stationary] 'TRIMA_14' became stationary after 1 diff(s)  (p=0.0000).
2026-03-27 10:01:31,082 | INFO | data_pipeline | [make_stationary] 'WMA_14' became stationary after 1 diff(s)  (p=0.0000).
2026-03-27 10:01:34,060 | INFO | data_pipeline | [make_stationary] 'AVGPRICE' became stationary after 1 diff(s)  (p=0.0000).
2026-03-27 10:01:37,367 | INFO | data_pipeline | [make_stationary] 'MEDPRICE' became stationary after 1 diff(s)  (p=0.0000).
2026-03-27 10:01:40,805 | INFO | data_pipeline | [make_stationary] 'TYPPRICE' became stationary after 1 diff(s)  (p=0.0000).
2026-03-27 10:01:44,268 | INFO | data_pipeline | [make_stationary] 'WCLPRICE' became stationary after 1 diff(s)  (p=0.0000).
2026-03-27 10:01:47,742 | INFO | data_pipeline | [make_stationary] 'LINEARREG_14' became stationary after 1 diff(s)  (p=0.0000).
2026-03-27 10:01:51,455 | INFO | data_pipeline | [make_stationary] 'LINEARREG_INTERCEPT_14' became stationary after 1 diff(s)  (p=0.0000).
2026-03-27 10:01:55,105 | INFO | data_pipeline | [make_stationary] 'TSF_14' became stationary after 1 diff(s)  (p=0.0000).
2026-03-27 10:01:55,186 | INFO | data_pipeline | [make_stationary] Shape after differencing & dropna: (27345, 144)
2026-03-27 10:01:55,187 | INFO | data_pipeline | Differencing summary: open=1d, high=1d, low=1d, close=1d, BB_UPPER=1d, BB_MIDDLE=1d, BB_LOWER=1d, DEMA_14=1d, EMA_14=1d, HT_TRENDLINE=1d, KAMA_14=1d, MA_14=1d, MIDPOINT_14=1d, MIDPRICE_14=1d, SAR=1d, SMA_14=1d, T3_14=1d, TEMA_14=1d, TRIMA_14=1d, WMA_14=1d, AVGPRICE=1d, MEDPRICE=1d, TYPPRICE=1d, WCLPRICE=1d, LINEARREG_14=1d, LINEARREG_INTERCEPT_14=1d, TSF_14=1d
2026-03-27 10:01:55,211 | INFO | data_pipeline | train_ratio=0.8 → split at row 21876/27345 → split_date='2025-07-04 04:00:00' (80% train / 20% test)
2026-03-27 10:01:55,274 | INFO | data_pipeline | Classification target created — shape: (27345, 142), class counts:
{-1: 20522, 1: 6802, 0: 21}
2026-03-27 10:01:55,459 | INFO | data_pipeline | Classification target created — shape: (27345, 142), class counts:
{-1: 20522, 1: 6802, 0: 21}
2026-03-27 10:03:12,724 | INFO | data_pipeline | Regression target created — shape: (27331, 142)
2026-03-27 10:03:13,053 | INFO | data_pipeline | Regression target created — shape: (27331, 142)
2026-03-27 10:12:44,084 | INFO | data_pipeline | Fetching data: schema=data_binance, table=btc_1m, start=2023-01-01, end=2026-02-17
2026-03-27 10:12:58,867 | INFO | data_pipeline | Fetched 1,645,921 rows for btc.
2026-03-27 10:12:58,867 | INFO | data_pipeline | Resampling to 1h…
2026-03-27 10:12:59,934 | INFO | data_pipeline | Resampled shape: (27433, 6)
2026-03-27 10:12:59,934 | INFO | data_pipeline | Generating 126 indicator(s)…
2026-03-27 10:13:00,176 | INFO | data_pipeline | Feature shape after generation: (27433, 144)
2026-03-27 10:13:00,178 | INFO | data_pipeline | Running ADF stationarity tests…
2026-03-27 10:13:02,644 | INFO | data_pipeline | [ADF] 'open' — NON-STATIONARY  (p=0.4929, stat=-1.5814)
2026-03-27 10:13:04,931 | INFO | data_pipeline | [ADF] 'high' — NON-STATIONARY  (p=0.4924, stat=-1.5824)
2026-03-27 10:13:07,236 | INFO | data_pipeline | [ADF] 'low' — NON-STATIONARY  (p=0.4929, stat=-1.5814)
2026-03-27 10:13:09,527 | INFO | data_pipeline | [ADF] 'close' — NON-STATIONARY  (p=0.4930, stat=-1.5812)
2026-03-27 10:13:14,228 | INFO | data_pipeline | [ADF] 'BB_UPPER' — NON-STATIONARY  (p=0.4899, stat=-1.5875)
2026-03-27 10:13:16,706 | INFO | data_pipeline | [ADF] 'BB_MIDDLE' — NON-STATIONARY  (p=0.4829, stat=-1.6013)
2026-03-27 10:13:19,101 | INFO | data_pipeline | [ADF] 'BB_LOWER' — NON-STATIONARY  (p=0.4907, stat=-1.5858)
2026-03-27 10:13:21,639 | INFO | data_pipeline | [ADF] 'DEMA_14' — NON-STATIONARY  (p=0.4893, stat=-1.5886)
2026-03-27 10:13:24,352 | INFO | data_pipeline | [ADF] 'EMA_14' — NON-STATIONARY  (p=0.4919, stat=-1.5835)
2026-03-27 10:13:27,222 | INFO | data_pipeline | [ADF] 'HT_TRENDLINE' — NON-STATIONARY  (p=0.4859, stat=-1.5954)
2026-03-27 10:13:30,055 | INFO | data_pipeline | [ADF] 'KAMA_14' — NON-STATIONARY  (p=0.4926, stat=-1.5821)
2026-03-27 10:13:32,927 | INFO | data_pipeline | [ADF] 'MA_14' — NON-STATIONARY  (p=0.4837, stat=-1.5997)
