2026-02-04 18:03:48,705 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-04 18:04:04,864 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-04 18:04:20,659 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-04 18:04:36,882 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-04 18:04:52,942 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-04 18:05:08,970 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-04 18:05:25,214 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-04 18:05:41,283 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-04 18:05:57,373 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-05 09:36:29,444 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-05 09:36:36,253 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-05 09:36:44,255 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-05 09:36:52,311 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-05 09:37:00,092 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-05 09:37:08,114 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-05 09:37:15,505 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-05 09:37:23,064 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-05 09:37:30,799 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-05 09:37:38,370 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-05 09:37:45,892 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-05 09:37:53,433 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-05 09:38:00,926 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-05 09:38:08,417 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-05 09:38:15,935 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-05 09:38:23,646 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-05 09:38:31,500 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-05 09:38:39,049 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-05 09:38:46,947 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-05 09:38:54,750 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-05 09:39:02,400 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-05 09:39:10,365 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-05 09:39:18,178 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-05 09:39:25,932 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-05 09:39:34,355 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-05 09:39:41,673 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-05 09:39:49,143 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-05 09:39:56,834 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-05 09:40:05,012 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-05 09:40:12,490 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-05 09:40:20,347 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-05 09:40:28,520 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-05 09:40:36,549 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-05 09:40:44,568 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-05 09:40:53,200 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-05 09:41:03,396 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-05 09:41:11,125 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
2026-02-05 09:41:18,300 | INFO | backtest_class | Found 17540 valid intervals out of 17573 predictions
