2026-02-11 09:59:49,459 | INFO | execution_binance_main |     roc_period: 10
2026-02-11 09:59:49,459 | INFO | execution_binance_main |     stochf_fastperiod: 14
2026-02-11 09:59:49,460 | INFO | execution_binance_main |     stochf_slowperiod: 3
2026-02-11 09:59:49,460 | INFO | execution_binance_main |     trix_period: 14
2026-02-11 09:59:49,460 | INFO | execution_binance_main |     willr_period: 14
2026-02-11 09:59:49,461 | INFO | execution_binance_main |     adosc_fastperiod: 3
2026-02-11 09:59:49,461 | INFO | execution_binance_main |     adosc_slowperiod: 10
2026-02-11 09:59:49,461 | INFO | execution_binance_main |     linearreg_slope_period: 14
2026-02-11 09:59:49,462 | INFO | execution_binance_main |     stddev_period: 5
2026-02-11 09:59:49,462 | INFO | execution_binance_main |     tsf_period: 14
2026-02-11 09:59:49,462 | INFO | execution_binance_main |     var_period: 5
2026-02-11 09:59:49,463 | INFO | execution_binance_main | Strategy sig_1h_btc_1 → Highest window value among specified patterns: 30
2026-02-11 09:59:49,468 | INFO | execution_binance_main | Strategy sig_1h_btc_2 → ALL columns:
2026-02-11 09:59:49,468 | INFO | execution_binance_main |     strategy: sig_1h_btc_2
2026-02-11 09:59:49,469 | INFO | execution_binance_main |     tp: 3
2026-02-11 09:59:49,470 | INFO | execution_binance_main |     sl: 1
2026-02-11 09:59:49,470 | INFO | execution_binance_main |     symbol: btc
2026-02-11 09:59:49,471 | INFO | execution_binance_main |     timehorizon: 1h
2026-02-11 09:59:49,471 | INFO | execution_binance_main |     pnl_sum: 2861.18
2026-02-11 09:59:49,473 | INFO | execution_binance_main |     bbands: True
2026-02-11 09:59:49,473 | INFO | execution_binance_main |     dema: True
2026-02-11 09:59:49,473 | INFO | execution_binance_main |     kama: True
2026-02-11 09:59:49,475 | INFO | execution_binance_main |     mama: True
2026-02-11 09:59:49,475 | INFO | execution_binance_main |     midpoint: True
2026-02-11 09:59:49,475 | INFO | execution_binance_main |     midprice: True
2026-02-11 09:59:49,475 | INFO | execution_binance_main |     sma: True
2026-02-11 09:59:49,476 | INFO | execution_binance_main |     tema: True
2026-02-11 09:59:49,476 | INFO | execution_binance_main |     wma: True
2026-02-11 09:59:49,477 | INFO | execution_binance_main |     adxr: True
2026-02-11 09:59:49,477 | INFO | execution_binance_main |     apo: True
2026-02-11 09:59:49,477 | INFO | execution_binance_main |     aroon: True
2026-02-11 09:59:49,479 | INFO | execution_binance_main |     aroonosc: True
2026-02-11 09:59:49,479 | INFO | execution_binance_main |     macdext: True
2026-02-11 09:59:49,479 | INFO | execution_binance_main |     mfi: True
2026-02-11 09:59:49,479 | INFO | execution_binance_main |     mom: True
2026-02-11 09:59:49,479 | INFO | execution_binance_main |     plus_di: True
2026-02-11 09:59:49,479 | INFO | execution_binance_main |     rocr: True
2026-02-11 09:59:49,479 | INFO | execution_binance_main |     rsi: True
2026-02-11 09:59:49,479 | INFO | execution_binance_main |     ad: True
2026-02-11 09:59:49,479 | INFO | execution_binance_main |     adosc: True
2026-02-11 09:59:49,483 | INFO | execution_binance_main |     atr: True
2026-02-11 09:59:49,483 | INFO | execution_binance_main |     natr: True
2026-02-11 09:59:49,483 | INFO | execution_binance_main |     ht_phasor: True
2026-02-11 09:59:49,483 | INFO | execution_binance_main |     linearreg: True
