2026-03-30 12:14:24,162 | INFO | base_dl_model | [GRUModel] Epoch 1/30 train_loss=1.025247  val_loss=0.877596
2026-03-30 12:16:37,823 | INFO | base_dl_model | [GRUModel] Epoch 10/30 train_loss=0.573580  val_loss=0.608254
2026-03-30 12:18:16,552 | INFO | base_dl_model | [GRUModel] Early stop at epoch 17. Best val_loss=0.607285
2026-03-30 12:18:16,554 | INFO | base_dl_model | [GRUModel] Training finished in 247.0s
2026-03-30 12:18:17,457 | INFO | base_dl_model | [GRUModel] predict() → min=0.0037  max=0.0038  mean=0.0037
2026-03-30 12:18:22,698 | INFO | base_dl_model | [GRUModel] Using device: cpu
2026-03-30 12:18:22,838 | INFO | base_dl_model | [GRUModel] Network params: 27,219
2026-03-30 12:18:28,589 | INFO | base_dl_model | [GRUModel] Epoch 1/30 train_loss=0.677863  val_loss=0.605700
2026-03-30 12:19:16,356 | INFO | base_dl_model | [GRUModel] Early stop at epoch 9. Best val_loss=0.605214
2026-03-30 12:19:16,356 | INFO | base_dl_model | [GRUModel] Training finished in 53.5s
2026-03-30 12:19:16,749 | INFO | base_dl_model | [GRUModel] predict() → min=0.0006  max=0.0007  mean=0.0007
2026-03-30 12:19:31,106 | INFO | base_dl_model | [GRUModel] Using device: cpu
2026-03-30 12:19:31,297 | INFO | base_dl_model | [GRUModel] Network params: 1,350,846
2026-03-30 12:20:48,498 | INFO | base_dl_model | [GRUModel] Epoch 1/30 train_loss=0.678885  val_loss=0.750279
2026-03-30 12:31:12,781 | INFO | base_dl_model | [GRUModel] Epoch 10/30 train_loss=0.656738  val_loss=0.661071
2026-03-30 12:38:40,902 | INFO | base_dl_model | [GRUModel] Early stop at epoch 17. Best val_loss=0.617748
2026-03-30 12:38:40,904 | INFO | base_dl_model | [GRUModel] Training finished in 1149.6s
2026-03-30 12:38:44,268 | INFO | base_dl_model | [GRUModel] predict() → min=0.0009  max=0.0009  mean=0.0009
2026-03-30 12:38:47,429 | INFO | base_dl_model | [GRUModel] Using device: cpu
