2026-01-20 11:02:57,586 | INFO | data_cleaner | Cleaned OHLCV data | rows: 20817
2026-01-20 11:03:30,312 | INFO | data_cleaner | Cleaned OHLCV data | rows: 20817
2026-01-20 11:04:07,353 | INFO | data_cleaner | Cleaned OHLCV data | rows: 20818
2026-01-20 11:06:34,346 | INFO | data_cleaner | Cleaned OHLCV data | rows: 20526
2026-01-20 11:08:38,777 | INFO | data_cleaner | Cleaned OHLCV data | rows: 20528
2026-01-20 11:15:36,175 | INFO | data_cleaner | Cleaned OHLCV data | rows: 20535
2026-01-20 11:16:10,294 | INFO | data_cleaner | Cleaned OHLCV data | rows: 20535
2026-01-20 11:16:43,437 | INFO | data_cleaner | Cleaned OHLCV data | rows: 20536
2026-01-20 11:17:16,536 | INFO | data_cleaner | Cleaned OHLCV data | rows: 20536
2026-01-20 11:17:50,177 | INFO | data_cleaner | Cleaned OHLCV data | rows: 20537
2026-01-20 11:18:23,752 | INFO | data_cleaner | Cleaned OHLCV data | rows: 20538
2026-01-20 11:18:57,992 | INFO | data_cleaner | Cleaned OHLCV data | rows: 20538
2026-01-20 11:19:32,602 | INFO | data_cleaner | Cleaned OHLCV data | rows: 20539
2026-01-20 11:20:09,028 | INFO | data_cleaner | Cleaned OHLCV data | rows: 20539
2026-01-20 11:22:41,691 | INFO | data_cleaner | Cleaned OHLCV data | rows: 20837
2026-01-20 11:23:14,667 | INFO | data_cleaner | Cleaned OHLCV data | rows: 20837
2026-01-20 11:23:49,227 | INFO | data_cleaner | Cleaned OHLCV data | rows: 20838
2026-01-20 11:24:26,222 | INFO | data_cleaner | Cleaned OHLCV data | rows: 20838
2026-01-20 11:25:07,225 | INFO | data_cleaner | Cleaned OHLCV data | rows: 20839
2026-01-20 11:25:47,305 | INFO | data_cleaner | Cleaned OHLCV data | rows: 20840
2026-01-20 11:26:22,882 | INFO | data_cleaner | Cleaned OHLCV data | rows: 20840
2026-01-20 11:27:03,311 | INFO | data_cleaner | Cleaned OHLCV data | rows: 20841
2026-01-20 11:27:40,259 | INFO | data_cleaner | Cleaned OHLCV data | rows: 20842
2026-01-20 11:30:53,964 | INFO | data_cleaner | Cleaned OHLCV data | rows: 20550
2026-01-20 11:31:13,840 | INFO | data_cleaner | Cleaned OHLCV data | rows: 20550
2026-01-20 11:31:34,148 | INFO | data_cleaner | Cleaned OHLCV data | rows: 20551
2026-01-20 11:31:54,613 | INFO | data_cleaner | Cleaned OHLCV data | rows: 20551
2026-01-20 11:32:15,064 | INFO | data_cleaner | Cleaned OHLCV data | rows: 20551
2026-01-20 11:32:35,720 | INFO | data_cleaner | Cleaned OHLCV data | rows: 20552
2026-01-20 11:32:56,973 | INFO | data_cleaner | Cleaned OHLCV data | rows: 20552
2026-01-20 11:33:17,146 | INFO | data_cleaner | Cleaned OHLCV data | rows: 20552
2026-01-20 11:33:37,812 | INFO | data_cleaner | Cleaned OHLCV data | rows: 20553
