2026-02-19 14:38:44,399 | INFO | model_trainer | Saved model random_forest_regressor for btc at saved_models\btc_random_forest_regressor.pkl
2026-02-19 14:38:48,963 | INFO | model_trainer | Saved model xgboost_regressor for btc at saved_models\btc_xgboost_regressor.pkl
2026-02-19 14:43:45,353 | INFO | model_trainer | Saved model random_forest_classifier for btc at saved_models\btc_random_forest_classifier.pkl
2026-02-19 14:43:51,365 | INFO | model_trainer | Saved model xgboost_classifier for btc at saved_models\btc_xgboost_classifier.pkl
2026-02-19 14:46:49,801 | INFO | model_trainer | Saved model random_forest_regressor for btc at saved_models\btc_random_forest_regressor.pkl
2026-02-19 14:46:54,541 | INFO | model_trainer | Saved model xgboost_regressor for btc at saved_models\btc_xgboost_regressor.pkl
2026-02-19 14:50:42,644 | INFO | model_trainer | Saved model random_forest_classifier for btc at saved_models\btc_random_forest_classifier.pkl
2026-02-19 14:50:46,162 | INFO | model_trainer | Saved model xgboost_classifier for btc at saved_models\btc_xgboost_classifier.pkl
2026-02-19 14:53:57,350 | INFO | model_trainer | Saved model random_forest_regressor for btc at saved_models\btc_random_forest_regressor.pkl
2026-02-19 14:54:03,061 | INFO | model_trainer | Saved model xgboost_regressor for btc at saved_models\btc_xgboost_regressor.pkl
2026-02-19 14:57:32,722 | INFO | model_trainer | Saved model random_forest_classifier for btc at saved_models\btc_random_forest_classifier.pkl
2026-02-19 14:57:37,988 | INFO | model_trainer | Saved model xgboost_classifier for btc at saved_models\btc_xgboost_classifier.pkl
2026-02-19 15:00:23,299 | INFO | model_trainer | Saved model random_forest_regressor for btc at saved_models\btc_random_forest_regressor.pkl
2026-02-19 15:00:27,866 | INFO | model_trainer | Saved model xgboost_regressor for btc at saved_models\btc_xgboost_regressor.pkl
2026-02-19 15:02:30,970 | INFO | model_trainer | Saved model random_forest_classifier for btc at saved_models\btc_random_forest_classifier.pkl
2026-02-19 15:02:36,857 | INFO | model_trainer | Saved model xgboost_classifier for btc at saved_models\btc_xgboost_classifier.pkl
2026-02-19 15:05:43,593 | INFO | model_trainer | Saved model random_forest_regressor for btc at saved_models\btc_random_forest_regressor.pkl
2026-02-19 15:05:49,965 | INFO | model_trainer | Saved model xgboost_regressor for btc at saved_models\btc_xgboost_regressor.pkl
2026-02-19 15:24:07,255 | INFO | model_trainer | Saved model random_forest_classifier for btc at saved_models\btc_random_forest_classifier.pkl
2026-02-19 15:24:13,519 | INFO | model_trainer | Saved model xgboost_classifier for btc at saved_models\btc_xgboost_classifier.pkl
2026-02-19 15:27:18,205 | INFO | model_trainer | Saved model random_forest_regressor for btc at saved_models\btc_random_forest_regressor.pkl
2026-02-19 15:27:23,022 | INFO | model_trainer | Saved model xgboost_regressor for btc at saved_models\btc_xgboost_regressor.pkl
2026-02-19 15:30:28,968 | INFO | model_trainer | Saved model random_forest_classifier for btc at saved_models\btc_random_forest_classifier.pkl
2026-02-19 15:30:32,417 | INFO | model_trainer | Saved model xgboost_classifier for btc at saved_models\btc_xgboost_classifier.pkl
2026-02-19 15:33:39,255 | INFO | model_trainer | Saved model random_forest_regressor for btc at saved_models\btc_random_forest_regressor.pkl
2026-02-19 15:33:48,038 | INFO | model_trainer | Saved model xgboost_regressor for btc at saved_models\btc_xgboost_regressor.pkl
