timestamp,open,high,low,close,volume
1768003200,90555.0,90556.0,90531.0,90531.0,0.3799
1768003260,90531.0,90549.0,90531.0,90549.0,0.0001
1768003320,90549.0,90569.0,90543.0,90569.0,0.0398
1768003380,90569.0,90569.0,90557.0,90562.0,0.008
1768003440,90562.0,90571.0,90562.0,90569.0,0.0229
1768003500,90569.0,90574.0,90569.0,90574.0,0.0016
1768003560,90574.0,90588.0,90562.0,90569.0,0.1821
1768003620,90569.0,90594.0,90569.0,90594.0,0.0441
1768003680,90594.0,90598.0,90584.0,90598.0,0.0305
1768003740,90598.0,90598.0,90573.0,90573.0,0.0034
1768003800,90573.0,90573.0,90550.0,90550.0,0.0244
1768003860,90550.0,90566.0,90550.0,90557.0,0.0163
1768003920,90557.0,90557.0,90536.0,90536.0,0.0352999999999999
1768003980,90536.0,90536.0,90506.0,90514.0,0.1416
1768004040,90514.0,90514.0,90484.0,90484.0,0.1465
1768004100,90484.0,90484.0,90478.0,90478.0,0.026
1768004160,90478.0,90489.0,90478.0,90484.0,0.0434
1768004220,90484.0,90484.0,90484.0,90484.0,0.0
1768004280,90484.0,90484.0,90440.0,90475.0,3.521
1768004340,90475.0,90475.0,90447.0,90447.0,0.1007
1768004400,90447.0,90467.0,90445.0,90467.0,0.1036
1768004460,90467.0,90467.0,90437.0,90461.0,0.4080999999999998
1768004520,90461.0,90472.0,90420.0,90472.0,0.2237
1768004580,90472.0,90472.0,90472.0,90472.0,0.0715
1768004640,90472.0,90478.0,90456.0,90475.0,0.2554
1768004700,90475.0,90483.0,90468.0,90475.0,0.0414
1768004760,90475.0,90477.0,90470.0,90477.0,0.0478
1768004820,90477.0,90493.0,90477.0,90493.0,0.001
1768004880,90493.0,90509.0,90486.0,90509.0,0.1221
1768004940,90509.0,90515.0,90509.0,90515.0,0.0194
1768005000,90515.0,90536.0,90515.0,90536.0,0.0683
1768005060,90536.0,90548.0,90536.0,90545.0,0.0221
1768005120,90545.0,90550.0,90544.0,90550.0,0.022
1768005180,90550.0,90550.0,90550.0,90550.0,0.0
1768005240,90550.0,90564.0,90545.0,90545.0,0.1598
1768005300,90545.0,90562.0,90540.0,90562.0,0.0866
1768005360,90562.0,90562.0,90562.0,90562.0,0.0
1768005420,90562.0,90562.0,90542.0,90542.0,0.0245
1768005480,90542.0,90544.0,90542.0,90544.0,0.0004
1768005540,90544.0,90559.0,90544.0,90554.0,0.0254
1768005600,90554.0,90570.0,90553.0,90553.0,0.0292
1768005660,90553.0,90553.0,90540.0,90543.0,0.0133
1768005720,90543.0,90543.0,90529.0,90529.0,0.0217
1768005780,90529.0,90529.0,90506.0,90506.0,0.0221
1768005840,90506.0,90521.0,90506.0,90521.0,0.001
1768005900,90521.0,90521.0,90514.0,90514.0,0.0005
1768005960,90514.0,90514.0,90467.0,90475.0,2.5713
1768006020,90475.0,90500.0,90475.0,90500.0,0.0258
1768006080,90500.0,90517.0,90496.0,90496.0,0.2618999999999999
1768006140,90496.0,90502.0,90483.0,90483.0,0.2338
1768006200,90483.0,90486.0,90483.0,90485.0,0.0003
1768006260,90485.0,90487.0,90485.0,90487.0,0.0001
1768006320,90487.0,90504.0,90481.0,90481.0,0.2918999999999999
1768006380,90481.0,90481.0,90481.0,90481.0,0.0
1768006440,90481.0,90481.0,90479.0,90479.0,0.0111
1768006500,90479.0,90479.0,90459.0,90459.0,0.0213
1768006560,90459.0,90482.0,90459.0,90482.0,0.0267
1768006620,90482.0,90492.0,90482.0,90492.0,0.0322
1768006680,90492.0,90513.0,90492.0,90513.0,0.1001
1768006740,90513.0,90513.0,90513.0,90513.0,0.0
1768006800,90513.0,90513.0,90506.0,90506.0,0.0003
1768006860,90506.0,90510.0,90506.0,90510.0,0.0003
1768006920,90510.0,90510.0,90510.0,90510.0,0.0
1768006980,90510.0,90510.0,90510.0,90510.0,0.0
1768007040,90510.0,90513.0,90510.0,90513.0,0.009
1768007100,90513.0,90529.0,90513.0,90529.0,0.0652
1768007160,90529.0,90562.0,90529.0,90562.0,0.1063
1768007220,90562.0,90562.0,90522.0,90526.0,0.2256000000000001
1768007280,90526.0,90532.0,90515.0,90532.0,0.0702
1768007340,90532.0,90542.0,90529.0,90532.0,0.0401
1768007400,90532.0,90532.0,90532.0,90532.0,0.0
1768007460,90532.0,90532.0,90482.0,90485.0,2.422300000000001
1768007520,90485.0,90519.0,90485.0,90519.0,0.0448
1768007580,90519.0,90531.0,90518.0,90531.0,0.0791
1768007640,90531.0,90560.0,90531.0,90558.0,0.1507000000000001
1768007700,90558.0,90572.0,90558.0,90572.0,0.0498
1768007760,90572.0,90591.0,90567.0,90567.0,0.2009
