datetime_utc,direction,action,buy_price,sell_price,fee_total,pnl,pnl_sum,order_id
2026-02-16 06:21:56,SHORT,SELL-OPEN,,68235.9,0.272944,0,0.0,12307474065
2026-02-16 06:36:53,LONG,BUY-OPEN,68472.0,,0.273888,0,0.0,12307734393
2026-02-16 06:41:50,LONG,BUY-OPEN,68472.1,,0.273888,0,0.0,12307814799
2026-02-16 06:52:04,LONG,SL,68472.1,68413.4,0.547542,-1.134542,-1.134542,12307815047
2026-02-16 06:52:05,SHORT,SELL-OPEN,,68362.3,0.273449,0,-1.134542,12307981360
2026-02-16 07:01:54,SHORT,SL,68398.7,68362.3,0.547044,-0.911044,-2.045586,12307981401
2026-02-16 07:01:55,LONG,BUY-OPEN,68396.6,,0.273586,0,-2.045586,12308141456
2026-02-16 07:06:48,LONG,BUY-OPEN,68473.1,,0.273892,0.0,0.0,12308223655
2026-02-16 07:12:03,LONG,BUY-OPEN,68490.5,,0.273962,0.0,0.0,12308315446
2026-02-16 07:16:50,LONG,TP,68490.5,68489.2,2.463608,-2.476608,-2.476608,12308315696
2026-02-16 07:16:51,LONG,BUY-OPEN,68557.6,,0.27423,0.0,-2.476608,12308396329
2026-02-16 07:26:53,LONG,TP,68557.6,68563.2,2.465256,-2.409256,-4.885864,12308396450
2026-02-16 07:26:54,LONG,BUY-OPEN,68630.9,,0.274524,0.0,-4.885864,12308569135
2026-02-16 07:32:06,LONG,SL,68630.9,68554.6,1.645449,-2.408449,-7.294313,12308569392
2026-02-16 07:32:08,LONG,BUY-OPEN,68498.3,,0.273993,0.0,-7.294313,12308661994
