timestamp,entryprice,exitprice,tp/sl,direction,pnl
2024-01-01 23:00:00+00:00,43640.9,44077.309,SL,sell,-436.40899999999965
2024-01-03 11:00:00+00:00,45199.5,44747.505,SL,buy,-451.9950000000026
2024-01-04 14:00:00+00:00,43369.9,43803.599,SL,sell,-433.6990000000005
2024-01-08 00:00:00+00:00,43903.0,43463.97,SL,buy,-439.02999999999884
2024-01-08 11:00:00+00:00,44111.9,44553.019,SL,sell,-441.1189999999988
2024-01-09 21:00:00+00:00,46700.7,46233.693,SL,buy,-467.0069999999978
2024-01-11 12:00:00+00:00,47110.0,47581.1,SL,sell,-471.09999999999854
2024-01-12 14:00:00+00:00,45805.0,45346.95,SL,buy,-458.0500000000029
2024-01-16 12:00:00+00:00,42894.9,43323.849,SL,sell,-428.9490000000005
2024-01-18 16:00:00+00:00,42595.7,42169.742999999995,SL,buy,-425.95700000000215
2024-01-19 18:00:00+00:00,41289.5,41702.395,SL,sell,-412.8949999999968
2024-01-22 01:00:00+00:00,41665.5,41248.845,SL,buy,-416.65499999999884
2024-01-26 10:00:00+00:00,40100.0,40501.0,SL,sell,-401.0
2024-01-28 19:00:00+00:00,41926.9,41937.9,,buy,11.0
2024-01-29 15:00:00+00:00,41937.9,42357.279,SL,sell,-419.3790000000008
2024-01-30 23:00:00+00:00,43326.3,42893.037000000004,SL,buy,-433.262999999999
2024-01-31 17:00:00+00:00,43470.1,42410.5,,sell,1059.5999999999985
2024-02-01 01:00:00+00:00,42410.5,41986.395,SL,buy,-424.1050000000032
2024-02-01 17:00:00+00:00,42622.7,43048.926999999996,SL,sell,-426.22699999999895
2024-02-02 13:00:00+00:00,43101.3,42670.287000000004,SL,buy,-431.012999999999
2024-02-05 13:00:00+00:00,43263.3,43695.933000000005,SL,sell,-432.63300000000163
2024-02-10 10:00:00+00:00,47051.0,47493.5,,buy,442.5
2024-02-10 20:00:00+00:00,47493.5,47968.435,SL,sell,-474.9349999999977
2024-02-13 13:00:00+00:00,49887.2,49388.327999999994,SL,buy,-498.872000000003
2024-02-14 08:00:00+00:00,49885.9,50384.759000000005,SL,sell,-498.859000000004
2024-02-15 21:00:00+00:00,51638.8,51122.412000000004,SL,buy,-516.387999999999
2024-02-18 22:00:00+00:00,51885.5,52404.355,SL,sell,-518.8550000000032
2024-02-19 16:00:00+00:00,52160.9,51639.291,SL,buy,-521.609000000004
2024-02-20 11:00:00+00:00,52192.9,52714.829000000005,SL,sell,-521.9290000000037
2024-02-21 09:00:00+00:00,51661.7,51145.083,SL,buy,-516.6169999999984
2024-02-24 17:00:00+00:00,51271.7,51784.416999999994,SL,sell,-512.7169999999969
2024-02-25 16:00:00+00:00,51553.6,51038.064,SL,buy,-515.5360000000001
2024-02-26 15:00:00+00:00,51739.3,52256.69300000001,SL,sell,-517.3930000000037
2024-02-29 17:00:00+00:00,62219.1,61596.909,SL,buy,-622.1909999999989
2024-03-01 13:00:00+00:00,62334.2,62957.541999999994,SL,sell,-623.3419999999969
2024-03-03 07:00:00+00:00,61912.9,61895.7,,buy,-17.200000000004366
2024-03-03 12:00:00+00:00,61895.7,62514.657,SL,sell,-618.9570000000022
2024-03-05 16:00:00+00:00,67083.4,66412.56599999999,SL,buy,-670.8340000000026
2024-03-07 17:00:00+00:00,67407.0,68081.07,SL,sell,-674.070000000007
2024-03-10 22:00:00+00:00,69169.1,68477.409,SL,buy,-691.6910000000062
2024-03-11 07:00:00+00:00,69459.4,70153.99399999999,SL,sell,-694.5939999999973
2024-03-12 16:00:00+00:00,71918.0,71198.81999999999,SL,buy,-719.1800000000076
2024-03-13 08:00:00+00:00,73016.4,73746.564,SL,sell,-730.1640000000043
2024-03-14 13:00:00+00:00,72895.5,72166.545,SL,buy,-728.9550000000017
2024-03-17 15:00:00+00:00,67580.0,68255.8,SL,sell,-675.8000000000029
2024-03-18 14:00:00+00:00,67505.6,66830.54400000001,SL,buy,-675.0559999999969
2024-03-20 18:00:00+00:00,64504.3,65149.343,SL,sell,-645.0429999999978
2024-03-21 17:00:00+00:00,66773.6,66105.864,SL,buy,-667.7360000000044
2024-03-23 14:00:00+00:00,64637.4,65283.774000000005,SL,sell,-646.3740000000034
2024-03-26 19:00:00+00:00,70019.6,69319.40400000001,SL,buy,-700.1959999999963
2024-03-31 18:00:00+00:00,70566.8,71272.46800000001,SL,sell,-705.6680000000051
2024-04-01 05:00:00+00:00,70528.0,69822.72,SL,buy,-705.2799999999988
2024-04-04 12:00:00+00:00,66377.6,67041.376,SL,sell,-663.775999999998
2024-04-09 06:00:00+00:00,71139.8,70428.402,SL,buy,-711.398000000001
2024-04-10 19:00:00+00:00,69379.9,70073.699,SL,sell,-693.7989999999991
2024-04-11 14:00:00+00:00,70229.8,70955.2,,buy,725.3999999999942
2024-04-12 04:00:00+00:00,70955.2,69922.2,,sell,1033.0
2024-04-12 14:00:00+00:00,69922.2,69222.978,SL,buy,-699.2219999999943
2024-04-14 22:00:00+00:00,64036.2,64676.562,SL,sell,-640.362000000001
2024-04-15 18:00:00+00:00,63987.0,63347.13,SL,buy,-639.8700000000026
2024-04-16 21:00:00+00:00,62962.3,63591.923,SL,sell,-629.6229999999996
2024-04-17 14:00:00+00:00,62459.5,61834.905,SL,buy,-624.5950000000012
2024-04-18 11:00:00+00:00,61943.5,62562.935,SL,sell,-619.4349999999977
2024-04-21 16:00:00+00:00,65043.9,64393.461,SL,buy,-650.4389999999985
2024-04-22 03:00:00+00:00,64742.0,65389.42,SL,sell,-647.4199999999983
2024-04-24 13:00:00+00:00,66237.0,65574.63,SL,buy,-662.3699999999953
2024-04-28 00:00:00+00:00,63442.0,64076.42,SL,sell,-634.4199999999983
2024-04-28 22:00:00+00:00,63643.5,63007.065,SL,buy,-636.4349999999977
2024-04-29 22:00:00+00:00,63046.5,63676.965000000004,SL,sell,-630.4650000000038
2024-04-30 08:00:00+00:00,63126.2,62494.937999999995,SL,buy,-631.2620000000024
2024-05-02 14:00:00+00:00,58385.8,58969.658,SL,sell,-583.8580000000002
2024-05-07 23:00:00+00:00,62818.4,62190.216,SL,buy,-628.1840000000011
2024-05-09 15:00:00+00:00,61546.2,62161.662,SL,sell,-615.4619999999995
2024-05-10 14:00:00+00:00,62803.6,62175.564,SL,buy,-628.0360000000001
2024-05-11 15:00:00+00:00,60858.7,61467.287,SL,sell,-608.5869999999995
2024-05-13 05:00:00+00:00,60905.4,61452.8,,buy,547.4000000000015
2024-05-13 07:00:00+00:00,61452.8,62067.328,SL,sell,-614.5279999999984
2024-05-14 06:00:00+00:00,62636.3,62009.937000000005,SL,buy,-626.3629999999976
2024-05-15 07:00:00+00:00,61972.6,62592.326,SL,sell,-619.7260000000024
2024-05-16 14:00:00+00:00,66298.5,65635.515,SL,buy,-662.9850000000006
2024-05-17 07:00:00+00:00,66000.1,66660.10100000001,SL,sell,-660.0010000000038
2024-05-19 16:00:00+00:00,66852.8,66184.272,SL,buy,-668.5280000000057
2024-05-20 16:00:00+00:00,67463.5,68138.135,SL,sell,-674.6349999999948
2024-05-21 19:00:00+00:00,69889.1,69190.209,SL,buy,-698.8910000000033
2024-05-22 15:00:00+00:00,70129.0,69530.3,,sell,598.6999999999971
