timestamp,buyprice,tp/sl,direction,pnl
2024-01-01 11:00:00+00:00,42747.2,TP,buy,1282.4159999999974
2024-01-02 03:00:00+00:00,45353.9,SL,buy,-453.53899999999703
2024-01-02 23:00:00+00:00,45018.0,SL,buy,-450.1800000000003
2024-01-03 16:00:00+00:00,43002.4,SL,buy,-430.0239999999976
2024-01-04 00:00:00+00:00,42841.7,TP,buy,1285.2510000000038
2024-01-05 03:00:00+00:00,43530.0,SL,buy,-435.3000000000029
2024-01-05 15:00:00+00:00,43580.2,SL,buy,-435.8020000000033
2024-01-05 18:00:00+00:00,43616.0,SL,buy,-436.1600000000035
2024-01-08 16:00:00+00:00,45045.8,TP,buy,1351.3740000000034
2024-01-08 19:00:00+00:00,46877.0,SL,buy,-468.7699999999968
2024-01-09 16:00:00+00:00,46881.7,SL,buy,-468.81700000000274
2024-01-10 02:00:00+00:00,45950.0,SL,buy,-459.5
2024-01-10 11:00:00+00:00,45572.9,SL,buy,-455.72899999999936
2024-01-10 11:53:00+00:00,45262.0,SL,buy,-452.6200000000026
2024-01-10 19:00:00+00:00,46492.4,SL,buy,-464.92399999999907
2024-01-11 00:00:00+00:00,46570.1,SL,buy,-465.70100000000093
2024-01-11 19:00:00+00:00,46547.1,SL,buy,-465.47099999999773
2024-01-12 00:33:00+00:00,46163.2,SL,buy,-461.6319999999978
2024-01-12 19:00:00+00:00,43508.8,SL,buy,-435.0880000000034
2024-01-13 00:00:00+00:00,42831.1,SL,buy,-428.3110000000015
2024-01-15 01:00:00+00:00,42235.3,TP,buy,1267.059000000001
2024-01-17 00:00:00+00:00,43151.2,SL,buy,-431.51200000000244
2024-01-17 17:00:00+00:00,42339.1,SL,buy,-423.39100000000326
2024-01-18 23:00:00+00:00,41350.3,SL,buy,-413.502999999997
2024-01-19 08:00:00+00:00,41301.3,SL,buy,-413.012999999999
2024-01-19 19:00:00+00:00,41766.6,SL,buy,-417.66599999999744
2024-01-22 22:00:00+00:00,39799.0,SL,buy,-397.98999999999796
2024-01-22 22:46:00+00:00,39647.2,SL,buy,-396.4720000000016
2024-01-23 19:00:00+00:00,39150.0,TP,buy,1174.5
2024-01-25 22:00:00+00:00,39921.0,TP,buy,1197.6300000000047
2024-01-26 19:00:00+00:00,42060.0,SL,buy,-420.59999999999854
2024-01-27 07:18:00+00:00,41646.3,TP,buy,1249.3890000000029
2024-01-29 18:00:00+00:00,43011.2,SL,buy,-430.112000000001
2024-02-01 06:00:00+00:00,42150.1,TP,buy,1264.5030000000042
2024-02-02 16:00:00+00:00,43277.4,SL,buy,-432.7739999999976
2024-02-02 18:05:00+00:00,42834.0,SL,buy,-428.3400000000038
2024-02-04 23:00:00+00:00,42535.9,TP,buy,1276.0770000000048
2024-02-07 22:00:00+00:00,44146.5,TP,buy,1324.395000000004
2024-02-08 17:00:00+00:00,45021.9,TP,buy,1350.6569999999992
2024-02-09 07:00:00+00:00,46189.8,TP,buy,1385.6940000000031
2024-02-09 18:00:00+00:00,47831.5,SL,buy,-478.3150000000023
2024-02-09 20:00:00+00:00,47540.1,SL,buy,-475.400999999998
2024-02-10 02:00:00+00:00,47284.0,TP,buy,1418.520000000004
2024-02-12 03:00:00+00:00,48176.0,TP,buy,1445.2799999999988
2024-02-13 01:00:00+00:00,50159.1,SL,buy,-501.59100000000035
2024-02-13 22:00:00+00:00,49608.6,TP,buy,1488.2580000000016
2024-02-14 12:00:00+00:00,51582.6,SL,buy,-515.8260000000009
2024-02-18 00:00:00+00:00,51710.5,SL,buy,-517.1050000000032
2024-02-18 11:00:00+00:00,51833.6,SL,buy,-518.336000000003
2024-02-20 21:00:00+00:00,52014.5,SL,buy,-520.1450000000041
2024-02-22 18:00:00+00:00,51704.4,SL,buy,-517.0440000000017
2024-02-23 03:00:00+00:00,51085.7,SL,buy,-510.8570000000036
2024-02-23 23:16:00+00:00,50591.4,TP,buy,1517.7419999999984
2024-02-26 20:00:00+00:00,54487.7,TP,buy,1634.6310000000012
2024-02-27 04:00:00+00:00,55716.6,TP,buy,1671.4979999999996
2024-02-28 00:00:00+00:00,57064.3,TP,buy,1711.9290000000037
2024-02-28 10:00:00+00:00,59330.6,SL,buy,-593.3060000000041
2024-02-28 15:00:00+00:00,60942.7,TP,buy,1828.2810000000027
2024-02-28 19:00:00+00:00,61449.9,SL,buy,-614.4990000000034
2024-02-28 19:41:00+00:00,60831.7,SL,buy,-608.3170000000027
2024-02-28 21:00:00+00:00,60422.1,SL,buy,-604.2209999999977
2024-02-28 21:09:00+00:00,59868.0,TP,buy,1796.0400000000009
2024-02-29 01:00:00+00:00,61361.5,TP,buy,1840.8450000000012
2024-02-29 10:00:00+00:00,62795.5,SL,buy,-627.9550000000017
2024-02-29 14:00:00+00:00,63068.9,SL,buy,-630.6889999999985
2024-02-29 23:00:00+00:00,61347.9,TP,buy,1840.436999999998
2024-03-03 22:20:00+00:00,63261.3,SL,buy,-632.6129999999976
2024-03-04 01:00:00+00:00,63630.3,TP,buy,1908.9089999999997
2024-03-04 09:00:00+00:00,65325.0,SL,buy,-653.25
2024-03-04 20:00:00+00:00,67381.5,SL,buy,-673.8150000000023
2024-03-05 17:00:00+00:00,65344.3,SL,buy,-653.4429999999993
2024-03-05 17:06:00+00:00,64567.3,SL,buy,-645.6730000000025
2024-03-05 17:08:00+00:00,64301.7,SL,buy,-643.0169999999998
2024-03-05 17:10:00+00:00,63937.7,SL,buy,-639.3770000000004
2024-03-05 22:00:00+00:00,63202.2,SL,buy,-632.0219999999972
2024-03-05 22:24:00+00:00,62526.5,TP,buy,1875.7949999999983
2024-03-07 04:00:00+00:00,65900.0,TP,buy,1977.0
2024-03-07 18:00:00+00:00,67705.9,SL,buy,-677.0589999999938
2024-03-08 03:00:00+00:00,67153.3,TP,buy,2014.599000000002
2024-03-08 22:00:00+00:00,68150.0,SL,buy,-681.5
2024-03-11 02:00:00+00:00,68376.6,TP,buy,2051.297999999995
2024-03-11 11:00:00+00:00,71625.6,SL,buy,-716.255999999994
2024-03-12 15:00:00+00:00,71164.0,SL,buy,-711.6399999999994
2024-03-12 19:00:00+00:00,71414.8,SL,buy,-714.148000000001
2024-03-13 00:00:00+00:00,71511.8,TP,buy,2145.3540000000066
2024-03-14 09:00:00+00:00,73439.0,SL,buy,-734.3899999999994
2024-03-14 12:00:00+00:00,72891.2,SL,buy,-728.9119999999966
2024-03-14 23:00:00+00:00,71534.3,SL,buy,-715.3429999999935
2024-03-15 05:00:00+00:00,67680.3,SL,buy,-676.8029999999999
2024-03-15 12:00:00+00:00,67707.8,TP,buy,2031.2339999999967
2024-03-16 05:00:00+00:00,69064.4,SL,buy,-690.6440000000002
2024-03-17 00:00:00+00:00,65624.0,SL,buy,-656.239999999998
2024-03-17 09:00:00+00:00,66544.6,TP,buy,1996.3380000000034
2024-03-18 19:00:00+00:00,67009.3,SL,buy,-670.0929999999935
2024-03-19 02:00:00+00:00,66021.5,SL,buy,-660.2150000000038
2024-03-19 03:34:00+00:00,65221.1,SL,buy,-652.211000000003
2024-03-19 13:00:00+00:00,63686.2,SL,buy,-636.862000000001
2024-03-19 17:00:00+00:00,64902.0,SL,buy,-649.0200000000041
2024-03-20 05:00:00+00:00,61714.9,SL,buy,-617.1489999999976
2024-03-20 05:12:00+00:00,61075.4,TP,buy,1832.2620000000024
2024-03-20 22:00:00+00:00,67702.2,SL,buy,-677.0219999999972
2024-03-21 04:00:00+00:00,66755.5,SL,buy,-667.5550000000076
2024-03-21 06:00:00+00:00,67092.9,SL,buy,-670.9290000000037
2024-03-21 19:00:00+00:00,65075.9,SL,buy,-650.7589999999982
2024-03-22 12:00:00+00:00,64324.2,SL,buy,-643.2419999999984
2024-03-22 22:00:00+00:00,62940.3,TP,buy,1888.2090000000026
2024-03-23 08:00:00+00:00,64704.2,SL,buy,-647.0420000000013
2024-03-24 01:00:00+00:00,64545.6,SL,buy,-645.4559999999983
2024-03-24 15:00:00+00:00,65647.5,SL,buy,-656.4749999999985
2024-03-24 19:00:00+00:00,65843.4,TP,buy,1975.301999999996
2024-03-25 20:00:00+00:00,71155.1,SL,buy,-711.5510000000068
2024-03-26 00:00:00+00:00,69934.6,SL,buy,-699.346000000005
2024-03-27 21:00:00+00:00,68990.3,TP,buy,2069.7090000000026
2024-03-28 13:00:00+00:00,70890.4,SL,buy,-708.903999999995
2024-03-29 11:00:00+00:00,70169.3,SL,buy,-701.6929999999993
2024-03-29 16:00:00+00:00,69323.8,TP,buy,2079.714000000007
2024-04-01 07:00:00+00:00,69660.9,SL,buy,-696.6089999999967
2024-04-01 23:00:00+00:00,69746.9,SL,buy,-697.4689999999973
2024-04-02 10:00:00+00:00,66110.4,SL,buy,-661.1039999999994
2024-04-02 10:48:00+00:00,65520.0,SL,buy,-655.1999999999971
2024-04-02 17:00:00+00:00,65620.9,SL,buy,-656.2090000000026
2024-04-03 00:33:00+00:00,64989.9,TP,buy,1949.6970000000074
2024-04-03 18:00:00+00:00,65898.2,SL,buy,-658.9820000000036
2024-04-04 10:00:00+00:00,66280.2,TP,buy,1988.4060000000027
2024-04-05 15:00:00+00:00,68231.9,SL,buy,-682.3190000000031
2024-04-06 08:00:00+00:00,67990.8,TP,buy,2039.724000000002
2024-04-08 00:00:00+00:00,69346.1,TP,buy,2080.3830000000016
2024-04-08 15:00:00+00:00,71848.5,SL,buy,-718.4850000000006
2024-04-09 18:00:00+00:00,68870.2,SL,buy,-688.7020000000048
2024-04-10 15:00:00+00:00,68692.3,TP,buy,2060.7690000000002
2024-04-11 01:00:00+00:00,70547.1,SL,buy,-705.471000000005
