datetime,predicted_direction,action,buy_price,sell_price,balance,pnl,pnl_sum
2024-01-01 22:00:00+00:00,long,buy,43619.9,,999.5,-0.05,-0.05
2024-01-01 22:15:00+00:00,long,sell - direction_change,43619.9,43567.6,997.8,-0.17,-0.22
2024-01-01 22:15:00+00:00,short,buy,43567.6,,997.3,-0.05,-0.27
2024-01-01 23:00:00+00:00,short,sell - direction_change,43567.6,43579.6,996.53,-0.08,-0.35
2024-01-01 23:00:00+00:00,long,buy,43579.6,,996.03,-0.05,-0.4
2024-01-02 00:15:00+00:00,long,sell - take_profit,43579.6,44886.988,1025.41,2.95,2.55
2024-01-02 00:30:00+00:00,long,buy,44677.9,,1024.9,-0.05,2.5
2024-01-02 06:45:00+00:00,long,sell - direction_change,44677.9,45332.8,1039.41,1.42,3.92
2024-01-02 06:45:00+00:00,short,buy,45332.8,,1038.89,-0.05,3.87
2024-01-02 07:00:00+00:00,short,sell - direction_change,45332.8,45203.1,1041.35,0.24,4.1
2024-01-02 07:00:00+00:00,long,buy,45203.1,,1040.82,-0.05,4.05
2024-01-02 11:15:00+00:00,long,sell - direction_change,45203.1,45620.0,1049.9,0.87,4.93
2024-01-02 11:15:00+00:00,short,buy,45620.0,,1049.38,-0.05,4.88
2024-01-02 13:30:00+00:00,short,sell - direction_change,45620.0,45579.3,1049.79,0.04,4.92
2024-01-02 13:30:00+00:00,long,buy,45579.3,,1049.27,-0.05,4.87
2024-01-02 14:30:00+00:00,long,sell - direction_change,45579.3,45685.7,1051.19,0.18,5.05
2024-01-02 14:30:00+00:00,short,buy,45685.7,,1050.66,-0.05,5.0
2024-01-02 21:45:00+00:00,short,sell - direction_change,45685.7,44988.0,1066.18,1.48,6.48
2024-01-02 21:45:00+00:00,long,buy,44988.0,,1065.65,-0.05,6.43
2024-01-02 22:30:00+00:00,long,sell - direction_change,44988.0,45113.0,1068.08,0.23,6.65
2024-01-02 22:30:00+00:00,short,buy,45113.0,,1067.55,-0.05,6.6
2024-01-02 23:00:00+00:00,short,sell - direction_change,45113.0,45024.9,1069.1,0.15,6.75
2024-01-02 23:00:00+00:00,long,buy,45024.9,,1068.56,-0.05,6.7
2024-01-02 23:15:00+00:00,long,sell - direction_change,45024.9,45038.8,1068.36,-0.02,6.68
2024-01-02 23:15:00+00:00,short,buy,45038.8,,1067.82,-0.05,6.63
2024-01-03 00:00:00+00:00,short,sell - direction_change,45038.8,44989.0,1068.47,0.06,6.69
2024-01-03 00:00:00+00:00,long,buy,44989.0,,1067.94,-0.05,6.64
