datetime,predicted_direction,action,buy_price,sell_price,balance,pnl,pnl_sum
2022-12-31 19:00:00+00:00,short,buy,16571.8,,999.5,-0.05,-0.05
2023-01-01 10:00:00+00:00,short,sell - direction_change,16571.8,16532.7,1001.36,0.19,0.14
2023-01-01 10:00:00+00:00,long,buy,16532.7,,1000.86,-0.05,0.09
2023-01-01 14:00:00+00:00,long,sell - direction_change,16532.7,16539.9,1000.79,-0.01,0.08
2023-01-01 14:00:00+00:00,short,buy,16539.9,,1000.29,-0.05,0.03
2023-01-01 15:00:00+00:00,short,sell - direction_change,16539.9,16533.2,1000.2,-0.01,0.02
2023-01-01 15:00:00+00:00,long,buy,16533.2,,999.7,-0.05,-0.03
2023-01-02 01:00:00+00:00,long,sell - direction_change,16533.2,16578.0,1001.91,0.22,0.19
2023-01-02 01:00:00+00:00,short,buy,16578.0,,1001.41,-0.05,0.14
2023-01-02 02:00:00+00:00,short,sell - direction_change,16578.0,16556.5,1002.2,0.08,0.22
2023-01-02 02:00:00+00:00,long,buy,16556.5,,1001.7,-0.05,0.17
2023-01-02 17:00:00+00:00,long,sell - direction_change,16556.5,16704.1,1010.13,0.84,1.01
2023-01-02 17:00:00+00:00,short,buy,16704.1,,1009.63,-0.05,0.96
2023-01-02 19:00:00+00:00,short,sell - direction_change,16704.1,16718.3,1008.26,-0.14,0.83
2023-01-02 19:00:00+00:00,long,buy,16718.3,,1007.76,-0.05,0.78
2023-01-02 22:00:00+00:00,long,sell - direction_change,16718.3,16751.9,1009.28,0.15,0.93
2023-01-02 22:00:00+00:00,short,buy,16751.9,,1008.78,-0.05,0.88
2023-01-03 07:00:00+00:00,short,sell - direction_change,16751.9,16719.8,1010.21,0.14,1.02
2023-01-03 07:00:00+00:00,long,buy,16719.8,,1009.7,-0.05,0.97
2023-01-03 12:00:00+00:00,long,sell - direction_change,16719.8,16714.2,1008.86,-0.08,0.89
2023-01-03 12:00:00+00:00,short,buy,16714.2,,1008.35,-0.05,0.84
2023-01-03 13:00:00+00:00,short,sell - direction_change,16714.2,16703.8,1008.48,0.01,0.85
2023-01-03 13:00:00+00:00,long,buy,16703.8,,1007.97,-0.05,0.8
2023-01-03 14:00:00+00:00,long,sell - direction_change,16703.8,16718.2,1008.34,0.04,0.83
2023-01-03 14:00:00+00:00,short,buy,16718.2,,1007.83,-0.05,0.78
2023-01-04 01:00:00+00:00,short,sell - direction_change,16718.2,16655.6,1011.1,0.32,1.11
2023-01-04 01:00:00+00:00,long,buy,16655.6,,1010.6,-0.05,1.06
2023-01-04 19:00:00+00:00,long,sell - direction_change,16655.6,16941.9,1027.46,1.67,2.73
2023-01-04 19:00:00+00:00,short,buy,16941.9,,1026.95,-0.05,2.68
2023-01-04 23:00:00+00:00,short,sell - direction_change,16941.9,16818.7,1033.9,0.68,3.36
2023-01-04 23:00:00+00:00,long,buy,16818.7,,1033.39,-0.05,3.31
2023-01-05 00:00:00+00:00,long,sell - direction_change,16818.7,16842.2,1034.31,0.09,3.39
2023-01-05 00:00:00+00:00,short,buy,16842.2,,1033.8,-0.05,3.34
2023-01-05 11:00:00+00:00,short,sell - direction_change,16842.2,16816.4,1034.86,0.1,3.45
2023-01-05 11:00:00+00:00,long,buy,16816.4,,1034.35,-0.05,3.4
