datetime,predicted_direction,action,buy_price,sell_price,balance,pnl,pnl_sum
2022-12-31 19:00:00+00:00,short,buy,16571.8,,999.5,-0.05,-0.05
2023-01-01 10:00:00+00:00,short,sell - direction_change,16571.8,16532.7,1001.36,0.19,0.14
2023-01-01 10:00:00+00:00,long,buy,16532.7,,1000.86,-0.05,0.09
2023-01-02 23:00:00+00:00,long,sell - direction_change,16532.7,16694.6,1010.16,0.93,1.02
2023-01-02 23:00:00+00:00,short,buy,16694.6,,1009.65,-0.05,0.97
2023-01-03 00:00:00+00:00,short,sell - direction_change,16694.6,16665.9,1010.88,0.12,1.09
2023-01-03 00:00:00+00:00,long,buy,16665.9,,1010.38,-0.05,1.04
2023-01-03 01:00:00+00:00,long,sell - direction_change,16665.9,16689.0,1011.27,0.09,1.13
2023-01-03 01:00:00+00:00,short,buy,16689.0,,1010.77,-0.05,1.08
2023-01-03 05:00:00+00:00,short,sell - direction_change,16689.0,16677.9,1010.94,0.02,1.09
2023-01-03 05:00:00+00:00,long,buy,16677.9,,1010.43,-0.05,1.04
2023-01-03 12:00:00+00:00,long,sell - direction_change,16677.9,16714.2,1012.12,0.17,1.21
2023-01-03 12:00:00+00:00,short,buy,16714.2,,1011.62,-0.05,1.16
2023-01-03 13:00:00+00:00,short,sell - direction_change,16714.2,16703.8,1011.74,0.01,1.17
2023-01-03 13:00:00+00:00,long,buy,16703.8,,1011.24,-0.05,1.12
2023-01-03 14:00:00+00:00,long,sell - direction_change,16703.8,16718.2,1011.6,0.04,1.16
2023-01-03 14:00:00+00:00,short,buy,16718.2,,1011.1,-0.05,1.11
2023-01-04 01:00:00+00:00,short,sell - direction_change,16718.2,16655.6,1014.38,0.32,1.43
2023-01-04 01:00:00+00:00,long,buy,16655.6,,1013.87,-0.05,1.38
2023-01-05 00:00:00+00:00,long,sell - direction_change,16655.6,16842.2,1024.72,1.07,2.45
2023-01-05 00:00:00+00:00,short,buy,16842.2,,1024.21,-0.05,2.4
2023-01-05 01:00:00+00:00,short,sell - direction_change,16842.2,16819.8,1025.06,0.08,2.49
2023-01-05 01:00:00+00:00,long,buy,16819.8,,1024.55,-0.05,2.44
2023-01-05 03:00:00+00:00,long,sell - direction_change,16819.8,16827.9,1024.53,-0.0,2.43
2023-01-05 03:00:00+00:00,short,buy,16827.9,,1024.02,-0.05,2.38
2023-01-05 11:00:00+00:00,short,sell - direction_change,16827.9,16816.4,1024.2,0.02,2.4
2023-01-05 11:00:00+00:00,long,buy,16816.4,,1023.69,-0.05,2.35
2023-01-05 12:00:00+00:00,long,sell - direction_change,16816.4,16827.0,1023.82,0.01,2.37
2023-01-05 12:00:00+00:00,short,buy,16827.0,,1023.31,-0.05,2.32
2023-01-05 15:00:00+00:00,short,sell - direction_change,16827.0,16822.6,1023.07,-0.02,2.29
2023-01-05 15:00:00+00:00,long,buy,16822.6,,1022.56,-0.05,2.24
2023-01-05 17:00:00+00:00,long,sell - direction_change,16822.6,16833.0,1022.68,0.01,2.25
2023-01-05 17:00:00+00:00,short,buy,16833.0,,1022.17,-0.05,2.2
2023-01-05 18:00:00+00:00,short,sell - direction_change,16833.0,16806.8,1023.25,0.11,2.31
2023-01-05 18:00:00+00:00,long,buy,16806.8,,1022.73,-0.05,2.26
