datetime,predicted_direction,action,buy_price,sell_price,balance,pnl,pnl_sum
2024-01-01 22:00:00+00:00,long,buy,43619.9,,999.5,-0.05,-0.05
2024-01-02 00:24:00+00:00,long,sell - take_profit,43619.9,44928.497,1028.99,2.95,2.9
2024-01-02 01:00:00+00:00,long,buy,45187.9,,1028.47,-0.05,2.85
2024-01-02 17:00:00+00:00,long,sell - direction_change,45187.9,45408.8,1032.98,0.44,3.29
2024-01-02 17:00:00+00:00,short,buy,45408.8,,1032.47,-0.05,3.24
2024-01-03 01:00:00+00:00,short,sell - direction_change,45408.8,45183.1,1037.08,0.45,3.69
2024-01-03 01:00:00+00:00,long,buy,45183.1,,1036.56,-0.05,3.64
2024-01-03 07:00:00+00:00,long,sell - direction_change,45183.1,45366.0,1040.24,0.35,3.99
2024-01-03 07:00:00+00:00,short,buy,45366.0,,1039.72,-0.05,3.94
2024-01-03 08:00:00+00:00,short,sell - direction_change,45366.0,45044.0,1046.58,0.66,4.6
2024-01-03 08:00:00+00:00,long,buy,45044.0,,1046.06,-0.05,4.55
2024-01-03 11:00:00+00:00,long,sell - direction_change,45044.0,45186.0,1048.83,0.27,4.82
2024-01-03 11:00:00+00:00,short,buy,45186.0,,1048.31,-0.05,4.77
2024-01-03 11:55:00+00:00,short,sell - take_profit,45186.0,43830.42,1079.23,2.95,7.72
2024-01-03 12:00:00+00:00,short,buy,43736.2,,1078.69,-0.05,7.67
2024-01-03 12:01:00+00:00,short,sell - take_profit,43736.2,42424.113999999994,1110.52,2.95,10.62
2024-01-03 13:00:00+00:00,short,buy,42797.1,,1109.96,-0.05,10.57
2024-01-03 16:01:00+00:00,short,sell - stop_loss,42797.1,43225.070999999996,1098.31,-1.05,9.52
2024-01-03 17:00:00+00:00,short,buy,43031.9,,1097.76,-0.05,9.47
2024-01-03 18:56:00+00:00,short,sell - take_profit,43031.9,41740.943,1130.14,2.95,12.42
2024-01-03 19:00:00+00:00,short,buy,42280.3,,1129.58,-0.05,12.37
2024-01-03 19:31:00+00:00,short,sell - stop_loss,42280.3,42703.103,1117.72,-1.05,11.32
2024-01-03 20:00:00+00:00,short,buy,42616.6,,1117.16,-0.05,11.27
2024-01-04 00:00:00+00:00,short,sell - direction_change,42616.6,42871.9,1109.91,-0.65,10.62
2024-01-04 00:00:00+00:00,long,buy,42871.9,,1109.35,-0.05,10.57
2024-01-04 01:00:00+00:00,long,sell - direction_change,42871.9,42901.9,1109.57,0.02,10.59
2024-01-04 01:00:00+00:00,short,buy,42901.9,,1109.02,-0.05,10.54
2024-01-04 02:00:00+00:00,short,sell - direction_change,42901.9,42731.0,1112.88,0.35,10.88
2024-01-04 02:00:00+00:00,long,buy,42731.0,,1112.32,-0.05,10.83
2024-01-04 07:00:00+00:00,long,sell - direction_change,42731.0,43185.6,1123.6,1.01,11.85
2024-01-04 07:00:00+00:00,short,buy,43185.6,,1123.04,-0.05,11.8
2024-01-04 08:00:00+00:00,short,sell - direction_change,43185.6,42795.3,1132.63,0.85,12.65
2024-01-04 08:00:00+00:00,long,buy,42795.3,,1132.06,-0.05,12.6
2024-01-04 15:15:00+00:00,long,sell - take_profit,42795.3,44079.15900000001,1165.46,2.95,15.55
2024-01-04 16:00:00+00:00,long,buy,44089.9,,1164.87,-0.05,15.5
2024-01-05 01:00:00+00:00,long,sell - direction_change,44089.9,44220.5,1167.74,0.25,15.75
2024-01-05 01:00:00+00:00,short,buy,44220.5,,1167.16,-0.05,15.7
