datetime,predicted_direction,action,buy_price,sell_price,balance,pnl,pnl_sum
2023-01-01 11:15:00+00:00,long,buy,16543.1,,999.5,-0.05,-0.05
2023-01-01 13:30:00+00:00,long,sell - direction_change,16543.1,16540.5,998.84,-0.07,-0.12
2023-01-01 13:30:00+00:00,short,buy,16540.5,,998.34,-0.05,-0.17
2023-01-01 13:45:00+00:00,short,sell - direction_change,16540.5,16536.0,998.12,-0.02,-0.19
2023-01-01 13:45:00+00:00,long,buy,16536.0,,997.62,-0.05,-0.24
2023-01-01 14:30:00+00:00,long,sell - direction_change,16536.0,16549.2,997.91,0.03,-0.21
2023-01-01 14:30:00+00:00,short,buy,16549.2,,997.42,-0.05,-0.26
2023-01-01 15:00:00+00:00,short,sell - direction_change,16549.2,16533.2,997.88,0.05,-0.21
2023-01-01 15:00:00+00:00,long,buy,16533.2,,997.38,-0.05,-0.26
2023-01-01 15:15:00+00:00,long,sell - direction_change,16533.2,16540.3,997.31,-0.01,-0.27
2023-01-01 15:15:00+00:00,short,buy,16540.3,,996.81,-0.05,-0.32
2023-01-01 15:30:00+00:00,short,sell - direction_change,16540.3,16534.5,996.66,-0.01,-0.33
2023-01-01 15:30:00+00:00,long,buy,16534.5,,996.17,-0.05,-0.38
2023-01-01 21:00:00+00:00,long,sell - direction_change,16534.5,16593.7,999.23,0.31,-0.08
2023-01-01 21:00:00+00:00,short,buy,16593.7,,998.74,-0.05,-0.13
2023-01-01 21:15:00+00:00,short,sell - direction_change,16593.7,16586.6,998.66,-0.01,-0.13
2023-01-01 21:15:00+00:00,long,buy,16586.6,,998.16,-0.05,-0.18
2023-01-01 21:30:00+00:00,long,sell - direction_change,16586.6,16593.5,998.08,-0.01,-0.19
2023-01-01 21:30:00+00:00,short,buy,16593.5,,997.58,-0.05,-0.24
2023-01-01 21:45:00+00:00,short,sell - direction_change,16593.5,16592.9,997.12,-0.05,-0.29
2023-01-01 21:45:00+00:00,long,buy,16592.9,,996.62,-0.05,-0.34
2023-01-01 22:00:00+00:00,long,sell - direction_change,16592.9,16597.6,996.4,-0.02,-0.36
2023-01-01 22:00:00+00:00,short,buy,16597.6,,995.91,-0.05,-0.41
2023-01-01 22:30:00+00:00,short,sell - direction_change,16597.6,16588.3,995.97,0.01,-0.4
2023-01-01 22:30:00+00:00,long,buy,16588.3,,995.47,-0.05,-0.45
2023-01-02 00:15:00+00:00,long,sell - direction_change,16588.3,16604.3,995.93,0.05,-0.41
2023-01-02 00:15:00+00:00,short,buy,16604.3,,995.43,-0.05,-0.46
2023-01-02 02:45:00+00:00,short,sell - direction_change,16604.3,16569.2,997.04,0.16,-0.3
2023-01-02 02:45:00+00:00,long,buy,16569.2,,996.54,-0.05,-0.35
2023-01-02 03:15:00+00:00,long,sell - direction_change,16569.2,16581.7,996.79,0.03,-0.32
2023-01-02 03:15:00+00:00,short,buy,16581.7,,996.3,-0.05,-0.37
2023-01-02 03:30:00+00:00,short,sell - direction_change,16581.7,16575.9,996.15,-0.02,-0.39
2023-01-02 03:30:00+00:00,long,buy,16575.9,,995.65,-0.05,-0.44
2023-01-02 11:15:00+00:00,long,sell - direction_change,16575.9,16717.9,1003.68,0.81,0.37
2023-01-02 11:15:00+00:00,short,buy,16717.9,,1003.18,-0.05,0.32
2023-01-02 11:30:00+00:00,short,sell - direction_change,16717.9,16708.7,1003.23,0.01,0.33
2023-01-02 11:30:00+00:00,long,buy,16708.7,,1002.73,-0.05,0.28
2023-01-02 12:30:00+00:00,long,sell - direction_change,16708.7,16729.7,1003.48,0.08,0.35
2023-01-02 12:30:00+00:00,short,buy,16729.7,,1002.98,-0.05,0.3
2023-01-02 15:15:00+00:00,short,sell - direction_change,16729.7,16703.9,1004.03,0.1,0.41
2023-01-02 15:15:00+00:00,long,buy,16703.9,,1003.53,-0.05,0.36
2023-01-02 17:30:00+00:00,long,sell - direction_change,16703.9,16711.4,1003.48,-0.01,0.35
2023-01-02 17:30:00+00:00,short,buy,16711.4,,1002.97,-0.05,0.3
2023-01-02 17:45:00+00:00,short,sell - direction_change,16711.4,16706.5,1002.77,-0.02,0.28
2023-01-02 17:45:00+00:00,long,buy,16706.5,,1002.26,-0.05,0.23
2023-01-02 18:00:00+00:00,long,sell - direction_change,16706.5,16710.0,1001.97,-0.03,0.2
2023-01-02 18:00:00+00:00,short,buy,16710.0,,1001.47,-0.05,0.15
2023-01-02 18:45:00+00:00,short,sell - direction_change,16710.0,16704.1,1001.33,-0.01,0.14
2023-01-02 18:45:00+00:00,long,buy,16704.1,,1000.82,-0.05,0.09
2023-01-02 22:15:00+00:00,long,sell - direction_change,16704.1,16747.9,1002.95,0.21,0.3
2023-01-02 22:15:00+00:00,short,buy,16747.9,,1002.45,-0.05,0.25
2023-01-03 03:30:00+00:00,short,sell - direction_change,16747.9,16680.5,1005.98,0.35,0.6
2023-01-03 03:30:00+00:00,long,buy,16680.5,,1005.48,-0.05,0.55
2023-01-03 04:30:00+00:00,long,sell - direction_change,16680.5,16685.9,1005.3,-0.02,0.53
2023-01-03 04:30:00+00:00,short,buy,16685.9,,1004.8,-0.05,0.48
2023-01-03 05:00:00+00:00,short,sell - direction_change,16685.9,16677.9,1004.78,-0.0,0.48
2023-01-03 05:00:00+00:00,long,buy,16677.9,,1004.27,-0.05,0.43
2023-01-03 08:30:00+00:00,long,sell - direction_change,16677.9,16711.9,1005.82,0.15,0.59
2023-01-03 08:30:00+00:00,short,buy,16711.9,,1005.32,-0.05,0.54
2023-01-03 09:00:00+00:00,short,sell - direction_change,16711.9,16710.1,1004.92,-0.04,0.5
2023-01-03 09:00:00+00:00,long,buy,16710.1,,1004.42,-0.05,0.45
2023-01-03 11:30:00+00:00,long,sell - direction_change,16710.1,16719.1,1004.46,0.0,0.45
2023-01-03 11:30:00+00:00,short,buy,16719.1,,1003.96,-0.05,0.4
2023-01-03 13:45:00+00:00,short,sell - direction_change,16719.1,16717.0,1003.58,-0.04,0.36
2023-01-03 13:45:00+00:00,long,buy,16717.0,,1003.08,-0.05,0.31
2023-01-03 14:45:00+00:00,long,sell - direction_change,16717.0,16747.0,1004.38,0.13,0.44
2023-01-03 14:45:00+00:00,short,buy,16747.0,,1003.87,-0.05,0.39
2023-01-03 19:15:00+00:00,short,sell - direction_change,16747.0,16625.1,1010.68,0.68,1.07
2023-01-03 19:15:00+00:00,long,buy,16625.1,,1010.17,-0.05,1.02
2023-01-03 22:30:00+00:00,long,sell - direction_change,16625.1,16656.1,1011.55,0.14,1.16
2023-01-03 22:30:00+00:00,short,buy,16656.1,,1011.05,-0.05,1.11
2023-01-03 22:45:00+00:00,short,sell - direction_change,16656.1,16650.9,1010.86,-0.02,1.09
2023-01-03 22:45:00+00:00,long,buy,16650.9,,1010.35,-0.05,1.04
2023-01-04 00:30:00+00:00,long,sell - direction_change,16650.9,16666.7,1010.81,0.04,1.08
2023-01-04 00:30:00+00:00,short,buy,16666.7,,1010.3,-0.05,1.03
2023-01-04 01:00:00+00:00,short,sell - direction_change,16666.7,16655.6,1010.47,0.02,1.05
2023-01-04 01:00:00+00:00,long,buy,16655.6,,1009.96,-0.05,1.0
2023-01-04 09:00:00+00:00,long,sell - direction_change,16655.6,16857.1,1021.68,1.16,2.16
2023-01-04 09:00:00+00:00,short,buy,16857.1,,1021.17,-0.05,2.11
2023-01-04 09:15:00+00:00,short,sell - direction_change,16857.1,16849.9,1021.09,-0.01,2.1
2023-01-04 09:15:00+00:00,long,buy,16849.9,,1020.58,-0.05,2.05
2023-01-04 09:45:00+00:00,long,sell - direction_change,16849.9,16851.8,1020.19,-0.04,2.01
2023-01-04 09:45:00+00:00,short,buy,16851.8,,1019.68,-0.05,1.96
2023-01-04 10:45:00+00:00,short,sell - direction_change,16851.8,16826.4,1020.7,0.1,2.06
2023-01-04 10:45:00+00:00,long,buy,16826.4,,1020.19,-0.05,2.01
2023-01-04 11:00:00+00:00,long,sell - direction_change,16826.4,16837.9,1020.38,0.02,2.03
2023-01-04 11:00:00+00:00,short,buy,16837.9,,1019.87,-0.05,1.98
2023-01-04 14:30:00+00:00,short,sell - direction_change,16837.9,16809.3,1021.09,0.12,2.1
2023-01-04 14:30:00+00:00,long,buy,16809.3,,1020.58,-0.05,2.05
2023-01-04 14:45:00+00:00,long,sell - direction_change,16809.3,16831.2,1021.4,0.08,2.13
2023-01-04 14:45:00+00:00,short,buy,16831.2,,1020.89,-0.05,2.08
2023-01-04 15:15:00+00:00,short,sell - direction_change,16831.2,16785.1,1023.18,0.22,2.31
2023-01-04 15:15:00+00:00,long,buy,16785.1,,1022.66,-0.05,2.26
2023-01-04 19:15:00+00:00,long,sell - direction_change,16785.1,16868.8,1027.25,0.45,2.7
2023-01-04 19:15:00+00:00,short,buy,16868.8,,1026.74,-0.05,2.65
2023-01-04 22:30:00+00:00,short,sell - direction_change,16868.8,16820.3,1029.18,0.24,2.89
2023-01-04 22:30:00+00:00,long,buy,16820.3,,1028.66,-0.05,2.84
2023-01-04 22:45:00+00:00,long,sell - direction_change,16820.3,16829.2,1028.69,0.0,2.85
2023-01-04 22:45:00+00:00,short,buy,16829.2,,1028.18,-0.05,2.8
2023-01-04 23:00:00+00:00,short,sell - direction_change,16829.2,16818.7,1028.31,0.01,2.81
2023-01-04 23:00:00+00:00,long,buy,16818.7,,1027.79,-0.05,2.76
2023-01-05 00:45:00+00:00,long,sell - direction_change,16818.7,16841.2,1028.65,0.08,2.84
2023-01-05 00:45:00+00:00,short,buy,16841.2,,1028.14,-0.05,2.79
2023-01-05 01:15:00+00:00,short,sell - direction_change,16841.2,16816.5,1029.13,0.1,2.89
2023-01-05 01:15:00+00:00,long,buy,16816.5,,1028.62,-0.05,2.84
2023-01-05 01:30:00+00:00,long,sell - direction_change,16816.5,16826.5,1028.71,0.01,2.85
2023-01-05 01:30:00+00:00,short,buy,16826.5,,1028.2,-0.05,2.8
2023-01-05 04:30:00+00:00,short,sell - direction_change,16826.5,16823.7,1027.86,-0.03,2.76
2023-01-05 04:30:00+00:00,long,buy,16823.7,,1027.34,-0.05,2.71
2023-01-05 06:15:00+00:00,long,sell - direction_change,16823.7,16830.4,1027.24,-0.01,2.7
2023-01-05 06:15:00+00:00,short,buy,16830.4,,1026.73,-0.05,2.65
2023-01-05 09:45:00+00:00,short,sell - direction_change,16830.4,16793.8,1028.44,0.17,2.82
2023-01-05 09:45:00+00:00,long,buy,16793.8,,1027.93,-0.05,2.77
2023-01-05 10:15:00+00:00,long,sell - direction_change,16793.8,16807.4,1028.25,0.03,2.8
2023-01-05 10:15:00+00:00,short,buy,16807.4,,1027.73,-0.05,2.75
2023-01-05 10:30:00+00:00,short,sell - direction_change,16807.4,16811.9,1026.95,-0.08,2.68
2023-01-05 10:30:00+00:00,long,buy,16811.9,,1026.43,-0.05,2.63
2023-01-05 13:15:00+00:00,long,sell - direction_change,16811.9,16816.8,1026.22,-0.02,2.6
2023-01-05 13:15:00+00:00,short,buy,16816.8,,1025.7,-0.05,2.55
2023-01-05 14:00:00+00:00,short,sell - direction_change,16816.8,16771.0,1027.99,0.22,2.78
2023-01-05 14:00:00+00:00,long,buy,16771.0,,1027.47,-0.05,2.73
2023-01-05 14:30:00+00:00,long,sell - direction_change,16771.0,16804.9,1029.03,0.15,2.88
2023-01-05 14:30:00+00:00,short,buy,16804.9,,1028.52,-0.05,2.83
2023-01-05 14:45:00+00:00,short,sell - direction_change,16804.9,16783.0,1029.35,0.08,2.91
2023-01-05 14:45:00+00:00,long,buy,16783.0,,1028.83,-0.05,2.86
2023-01-05 17:15:00+00:00,long,sell - direction_change,16783.0,16830.2,1031.21,0.23,3.09
2023-01-05 17:15:00+00:00,short,buy,16830.2,,1030.7,-0.05,3.04
2023-01-05 18:15:00+00:00,short,sell - direction_change,16830.2,16804.0,1031.78,0.11,3.15
2023-01-05 18:15:00+00:00,long,buy,16804.0,,1031.27,-0.05,3.1
2023-01-05 21:15:00+00:00,long,sell - direction_change,16804.0,16852.0,1033.7,0.24,3.33
2023-01-05 21:15:00+00:00,short,buy,16852.0,,1033.18,-0.05,3.28
2023-01-05 21:30:00+00:00,short,sell - direction_change,16852.0,16836.8,1033.6,0.04,3.32
2023-01-05 21:30:00+00:00,long,buy,16836.8,,1033.08,-0.05,3.27
2023-01-05 22:30:00+00:00,long,sell - direction_change,16836.8,16847.0,1033.19,0.01,3.28
2023-01-05 22:30:00+00:00,short,buy,16847.0,,1032.67,-0.05,3.23
2023-01-05 23:00:00+00:00,short,sell - direction_change,16847.0,16829.9,1033.2,0.05,3.28
2023-01-05 23:00:00+00:00,long,buy,16829.9,,1032.69,-0.05,3.23
2023-01-05 23:15:00+00:00,long,sell - direction_change,16829.9,16831.4,1032.26,-0.04,3.19
2023-01-05 23:15:00+00:00,short,buy,16831.4,,1031.75,-0.05,3.14
2023-01-06 00:30:00+00:00,short,sell - direction_change,16831.4,16835.0,1031.01,-0.07,3.07
2023-01-06 00:30:00+00:00,long,buy,16835.0,,1030.5,-0.05,3.02
2023-01-06 01:45:00+00:00,long,sell - direction_change,16835.0,16844.9,1030.59,0.01,3.03
2023-01-06 01:45:00+00:00,short,buy,16844.9,,1030.07,-0.05,2.98
2023-01-06 02:30:00+00:00,short,sell - direction_change,16844.9,16818.1,1031.19,0.11,3.09
2023-01-06 02:30:00+00:00,long,buy,16818.1,,1030.68,-0.05,3.04
2023-01-06 02:45:00+00:00,long,sell - direction_change,16818.1,16823.6,1030.5,-0.02,3.02
2023-01-06 02:45:00+00:00,short,buy,16823.6,,1029.99,-0.05,2.97
2023-01-06 08:15:00+00:00,short,sell - direction_change,16823.6,16794.3,1031.26,0.12,3.1
2023-01-06 08:15:00+00:00,long,buy,16794.3,,1030.75,-0.05,3.05
2023-01-06 09:00:00+00:00,long,sell - direction_change,16794.3,16792.7,1030.14,-0.06,2.99
2023-01-06 09:00:00+00:00,short,buy,16792.7,,1029.62,-0.05,2.94
2023-01-06 09:30:00+00:00,short,sell - direction_change,16792.7,16776.6,1030.09,0.05,2.98
2023-01-06 09:30:00+00:00,long,buy,16776.6,,1029.58,-0.05,2.93
2023-01-06 10:00:00+00:00,long,sell - direction_change,16776.6,16781.3,1029.35,-0.02,2.91
2023-01-06 10:00:00+00:00,short,buy,16781.3,,1028.84,-0.05,2.86
2023-01-06 13:30:00+00:00,short,sell - direction_change,16781.3,16684.0,1034.29,0.53,3.39
2023-01-06 13:30:00+00:00,long,buy,16684.0,,1033.77,-0.05,3.34
2023-01-06 14:30:00+00:00,long,sell - direction_change,16684.0,16758.3,1037.86,0.4,3.74
2023-01-06 14:30:00+00:00,short,buy,16758.3,,1037.34,-0.05,3.69
2023-01-06 14:45:00+00:00,short,sell - direction_change,16758.3,16722.2,1039.05,0.17,3.85
2023-01-06 14:45:00+00:00,long,buy,16722.2,,1038.53,-0.05,3.8
2023-01-07 02:45:00+00:00,long,sell - direction_change,16722.2,16940.5,1051.57,1.26,5.06
2023-01-07 02:45:00+00:00,short,buy,16940.5,,1051.05,-0.05,5.01
2023-01-07 03:00:00+00:00,short,sell - direction_change,16940.5,16934.9,1050.87,-0.02,4.99
2023-01-07 03:00:00+00:00,long,buy,16934.9,,1050.34,-0.05,4.94
2023-01-07 03:30:00+00:00,long,sell - direction_change,16934.9,16946.6,1050.54,0.02,4.96
2023-01-07 03:30:00+00:00,short,buy,16946.6,,1050.02,-0.05,4.91
2023-01-07 03:45:00+00:00,short,sell - direction_change,16946.6,16935.8,1050.16,0.01,4.92
2023-01-07 03:45:00+00:00,long,buy,16935.8,,1049.64,-0.05,4.87
2023-01-07 04:00:00+00:00,long,sell - direction_change,16935.8,16944.3,1049.64,0.0,4.87
2023-01-07 04:00:00+00:00,short,buy,16944.3,,1049.12,-0.05,4.82
2023-01-07 07:15:00+00:00,short,sell - direction_change,16944.3,16928.9,1049.54,0.04,4.86
2023-01-07 07:15:00+00:00,long,buy,16928.9,,1049.02,-0.05,4.81
2023-01-07 08:00:00+00:00,long,sell - direction_change,16928.9,16939.8,1049.17,0.01,4.83
2023-01-07 08:00:00+00:00,short,buy,16939.8,,1048.65,-0.05,4.78
2023-01-07 08:30:00+00:00,short,sell - direction_change,16939.8,16921.9,1049.23,0.06,4.83
2023-01-07 08:30:00+00:00,long,buy,16921.9,,1048.7,-0.05,4.78
2023-01-07 08:45:00+00:00,long,sell - direction_change,16921.9,16929.9,1048.68,-0.0,4.78
2023-01-07 08:45:00+00:00,short,buy,16929.9,,1048.15,-0.05,4.73
2023-01-07 13:00:00+00:00,short,sell - direction_change,16929.9,16912.5,1048.7,0.05,4.78
2023-01-07 13:00:00+00:00,long,buy,16912.5,,1048.18,-0.05,4.73
2023-01-07 13:45:00+00:00,long,sell - direction_change,16912.5,16920.3,1048.14,-0.0,4.73
2023-01-07 13:45:00+00:00,short,buy,16920.3,,1047.62,-0.05,4.68
2023-01-07 14:15:00+00:00,short,sell - direction_change,16920.3,16907.5,1047.88,0.03,4.71
2023-01-07 14:15:00+00:00,long,buy,16907.5,,1047.36,-0.05,4.66
2023-01-07 16:30:00+00:00,long,sell - direction_change,16907.5,16918.8,1047.54,0.02,4.67
2023-01-07 16:30:00+00:00,short,buy,16918.8,,1047.01,-0.05,4.62
2023-01-07 17:30:00+00:00,short,sell - direction_change,16918.8,16919.6,1046.44,-0.05,4.57
2023-01-07 17:30:00+00:00,long,buy,16919.6,,1045.92,-0.05,4.52
2023-01-07 17:45:00+00:00,long,sell - direction_change,16919.6,16926.3,1045.81,-0.01,4.51
2023-01-07 17:45:00+00:00,short,buy,16926.3,,1045.29,-0.05,4.46
2023-01-07 18:15:00+00:00,short,sell - direction_change,16926.3,16925.3,1044.82,-0.04,4.41
2023-01-07 18:15:00+00:00,long,buy,16925.3,,1044.3,-0.05,4.36
2023-01-07 21:15:00+00:00,long,sell - direction_change,16925.3,16935.9,1044.43,0.01,4.38
2023-01-07 21:15:00+00:00,short,buy,16935.9,,1043.91,-0.05,4.33
2023-01-07 21:30:00+00:00,short,sell - direction_change,16935.9,16929.4,1043.79,-0.01,4.31
2023-01-07 21:30:00+00:00,long,buy,16929.4,,1043.27,-0.05,4.26
2023-01-07 21:45:00+00:00,long,sell - direction_change,16929.4,16933.9,1043.02,-0.02,4.24
2023-01-07 21:45:00+00:00,short,buy,16933.9,,1042.5,-0.05,4.19
2023-01-07 22:30:00+00:00,short,sell - direction_change,16933.9,16929.0,1042.28,-0.02,4.17
2023-01-07 22:30:00+00:00,long,buy,16929.0,,1041.76,-0.05,4.12
2023-01-07 22:45:00+00:00,long,sell - direction_change,16929.0,16932.0,1041.43,-0.03,4.09
2023-01-07 22:45:00+00:00,short,buy,16932.0,,1040.9,-0.05,4.04
2023-01-07 23:00:00+00:00,short,sell - direction_change,16932.0,16930.4,1040.48,-0.04,4.0
2023-01-07 23:00:00+00:00,long,buy,16930.4,,1039.96,-0.05,3.95
2023-01-08 00:15:00+00:00,long,sell - direction_change,16930.4,16939.3,1039.99,0.0,3.95
2023-01-08 00:15:00+00:00,short,buy,16939.3,,1039.47,-0.05,3.9
2023-01-08 03:15:00+00:00,short,sell - direction_change,16939.3,16923.3,1039.93,0.04,3.94
2023-01-08 03:15:00+00:00,long,buy,16923.3,,1039.41,-0.05,3.89
2023-01-08 06:15:00+00:00,long,sell - direction_change,16923.3,16934.3,1039.57,0.01,3.91
2023-01-08 06:15:00+00:00,short,buy,16934.3,,1039.05,-0.05,3.86
2023-01-08 06:30:00+00:00,short,sell - direction_change,16934.3,16930.0,1038.79,-0.02,3.83
2023-01-08 06:30:00+00:00,long,buy,16930.0,,1038.27,-0.05,3.78
