datetime,predicted_direction,action,buy_price,sell_price,balance,pnl,pnl_sum
2022-12-31 19:00:00+00:00,short,buy,16571.8,,999.5,-0.05,-0.05
2023-01-01 10:00:00+00:00,short,sell - direction_change,16571.8,16532.7,1001.36,0.19,0.14
2023-01-01 10:00:00+00:00,long,buy,16532.7,,1000.86,-0.05,0.09
2023-01-01 11:00:00+00:00,long,sell - direction_change,16532.7,16542.9,1000.97,0.01,0.1
2023-01-01 11:00:00+00:00,short,buy,16542.9,,1000.47,-0.05,0.05
2023-01-01 12:00:00+00:00,short,sell - direction_change,16542.9,16549.8,999.56,-0.09,-0.04
2023-01-01 12:00:00+00:00,long,buy,16549.8,,999.06,-0.05,-0.09
2023-01-01 14:00:00+00:00,long,sell - direction_change,16549.8,16539.9,997.96,-0.11,-0.2
2023-01-01 14:00:00+00:00,short,buy,16539.9,,997.46,-0.05,-0.25
2023-01-01 15:00:00+00:00,short,sell - direction_change,16539.9,16533.2,997.37,-0.01,-0.26
2023-01-01 15:00:00+00:00,long,buy,16533.2,,996.87,-0.05,-0.31
2023-01-01 22:00:00+00:00,long,sell - direction_change,16533.2,16597.6,1000.25,0.34,0.03
2023-01-01 22:00:00+00:00,short,buy,16597.6,,999.75,-0.05,-0.02
2023-01-01 23:00:00+00:00,short,sell - direction_change,16597.6,16594.4,999.44,-0.03,-0.05
2023-01-01 23:00:00+00:00,long,buy,16594.4,,998.95,-0.05,-0.1
2023-01-02 00:00:00+00:00,long,sell - direction_change,16594.4,16610.4,999.41,0.05,-0.06
2023-01-02 00:00:00+00:00,short,buy,16610.4,,998.91,-0.05,-0.11
2023-01-02 03:00:00+00:00,short,sell - direction_change,16610.4,16580.4,1000.21,0.13,0.02
2023-01-02 03:00:00+00:00,long,buy,16580.4,,999.71,-0.05,-0.03
2023-01-02 12:00:00+00:00,long,sell - direction_change,16580.4,16728.4,1008.14,0.84,0.82
2023-01-02 12:00:00+00:00,short,buy,16728.4,,1007.63,-0.05,0.77
2023-01-02 13:00:00+00:00,short,sell - direction_change,16728.4,16713.2,1008.05,0.04,0.81
2023-01-02 13:00:00+00:00,long,buy,16713.2,,1007.54,-0.05,0.76
2023-01-02 16:00:00+00:00,long,sell - direction_change,16713.2,16729.2,1008.0,0.05,0.8
2023-01-02 16:00:00+00:00,short,buy,16729.2,,1007.5,-0.05,0.75
2023-01-02 18:00:00+00:00,short,sell - direction_change,16729.2,16710.0,1008.15,0.06,0.82
2023-01-02 18:00:00+00:00,long,buy,16710.0,,1007.65,-0.05,0.77
2023-01-02 22:00:00+00:00,long,sell - direction_change,16710.0,16751.9,1009.67,0.2,0.97
2023-01-02 22:00:00+00:00,short,buy,16751.9,,1009.16,-0.05,0.92
2023-01-03 09:00:00+00:00,short,sell - direction_change,16751.9,16710.1,1011.18,0.2,1.12
2023-01-03 09:00:00+00:00,long,buy,16710.1,,1010.67,-0.05,1.07
2023-01-03 10:00:00+00:00,long,sell - direction_change,16710.1,16732.9,1011.55,0.09,1.15
2023-01-03 10:00:00+00:00,short,buy,16732.9,,1011.04,-0.05,1.1
2023-01-03 11:00:00+00:00,short,sell - direction_change,16732.9,16718.2,1011.42,0.04,1.14
2023-01-03 11:00:00+00:00,long,buy,16718.2,,1010.92,-0.05,1.09
