datetime,predicted_direction,action,buy_price,sell_price,balance,pnl,pnl_sum
2023-01-03 11:00:00+00:00,long,buy,16718.2,,999.5,-0.05,-0.05
2023-01-03 14:00:00+00:00,long,sell - direction_change,16718.2,16718.2,999.0,-0.05,-0.1
2023-01-03 14:00:00+00:00,short,buy,16718.2,,998.5,-0.05,-0.15
2023-01-04 01:00:00+00:00,short,sell - direction_change,16718.2,16655.6,1001.74,0.32,0.17
2023-01-04 01:00:00+00:00,long,buy,16655.6,,1001.24,-0.05,0.12
2023-01-04 21:00:00+00:00,long,sell - direction_change,16655.6,16801.1,1009.49,0.82,0.95
2023-01-04 21:00:00+00:00,short,buy,16801.1,,1008.98,-0.05,0.9
2023-01-04 22:00:00+00:00,short,sell - direction_change,16801.1,16819.3,1007.38,-0.16,0.74
2023-01-04 22:00:00+00:00,long,buy,16819.3,,1006.88,-0.05,0.69
2023-01-05 00:00:00+00:00,long,sell - direction_change,16819.3,16842.2,1007.75,0.09,0.78
2023-01-05 00:00:00+00:00,short,buy,16842.2,,1007.24,-0.05,0.73
2023-01-05 11:00:00+00:00,short,sell - direction_change,16842.2,16816.4,1008.28,0.1,0.83
2023-01-05 11:00:00+00:00,long,buy,16816.4,,1007.78,-0.05,0.78
2023-01-05 12:00:00+00:00,long,sell - direction_change,16816.4,16827.0,1007.91,0.01,0.79
2023-01-05 12:00:00+00:00,short,buy,16827.0,,1007.41,-0.05,0.74
2023-01-05 15:00:00+00:00,short,sell - direction_change,16827.0,16822.6,1007.17,-0.02,0.72
2023-01-05 15:00:00+00:00,long,buy,16822.6,,1006.66,-0.05,0.67
2023-01-05 17:00:00+00:00,long,sell - direction_change,16822.6,16833.0,1006.78,0.01,0.68
2023-01-05 17:00:00+00:00,short,buy,16833.0,,1006.28,-0.05,0.63
2023-01-05 18:00:00+00:00,short,sell - direction_change,16833.0,16806.8,1007.34,0.11,0.74
2023-01-05 18:00:00+00:00,long,buy,16806.8,,1006.84,-0.05,0.69
2023-01-06 01:00:00+00:00,long,sell - direction_change,16806.8,16852.1,1009.05,0.22,0.91
2023-01-06 01:00:00+00:00,short,buy,16852.1,,1008.54,-0.05,0.86
