datetime,predicted_direction,action,buy_price,sell_price,balance,pnl,pnl_sum
2022-12-31 19:00:00+00:00,short,buy,16571.8,,999.5,-0.05,-0.05
2023-01-01 09:00:00+00:00,short,sell - direction_change,16571.8,16504.3,1003.07,0.36,0.31
2023-01-01 09:00:00+00:00,long,buy,16504.3,,1002.57,-0.05,0.26
2023-01-02 01:00:00+00:00,long,sell - direction_change,16504.3,16578.0,1006.55,0.4,0.65
2023-01-02 01:00:00+00:00,short,buy,16578.0,,1006.04,-0.05,0.6
2023-01-02 02:00:00+00:00,short,sell - direction_change,16578.0,16556.5,1006.84,0.08,0.68
2023-01-02 02:00:00+00:00,long,buy,16556.5,,1006.34,-0.05,0.63
2023-01-02 23:00:00+00:00,long,sell - direction_change,16556.5,16694.6,1014.23,0.78,1.42
2023-01-02 23:00:00+00:00,short,buy,16694.6,,1013.72,-0.05,1.37
2023-01-03 05:00:00+00:00,short,sell - direction_change,16694.6,16677.9,1014.23,0.05,1.42
2023-01-03 05:00:00+00:00,long,buy,16677.9,,1013.72,-0.05,1.37
2023-01-03 14:00:00+00:00,long,sell - direction_change,16677.9,16718.2,1015.67,0.19,1.56
2023-01-03 14:00:00+00:00,short,buy,16718.2,,1015.16,-0.05,1.51
2023-01-04 01:00:00+00:00,short,sell - direction_change,16718.2,16655.6,1018.45,0.32,1.83
2023-01-04 01:00:00+00:00,long,buy,16655.6,,1017.94,-0.05,1.78
2023-01-04 20:00:00+00:00,long,sell - direction_change,16655.6,16835.9,1028.45,1.03,2.82
2023-01-04 20:00:00+00:00,short,buy,16835.9,,1027.94,-0.05,2.77
2023-01-04 21:00:00+00:00,short,sell - direction_change,16835.9,16801.1,1029.55,0.16,2.92
2023-01-04 21:00:00+00:00,long,buy,16801.1,,1029.04,-0.05,2.87
2023-01-05 00:00:00+00:00,long,sell - direction_change,16801.1,16842.2,1031.04,0.19,3.07
2023-01-05 00:00:00+00:00,short,buy,16842.2,,1030.52,-0.05,3.02
2023-01-05 02:00:00+00:00,short,sell - direction_change,16842.2,16825.0,1031.06,0.05,3.07
2023-01-05 02:00:00+00:00,long,buy,16825.0,,1030.54,-0.05,3.02
2023-01-05 03:00:00+00:00,long,sell - direction_change,16825.0,16827.9,1030.21,-0.03,2.99
2023-01-05 03:00:00+00:00,short,buy,16827.9,,1029.69,-0.05,2.94
2023-01-05 05:00:00+00:00,short,sell - direction_change,16827.9,16829.0,1029.11,-0.06,2.88
2023-01-05 05:00:00+00:00,long,buy,16829.0,,1028.6,-0.05,2.83
2023-01-05 06:00:00+00:00,long,sell - direction_change,16829.0,16836.2,1028.52,-0.01,2.82
2023-01-05 06:00:00+00:00,short,buy,16836.2,,1028.01,-0.05,2.77
2023-01-05 11:00:00+00:00,short,sell - direction_change,16836.2,16816.4,1028.7,0.07,2.84
2023-01-05 11:00:00+00:00,long,buy,16816.4,,1028.19,-0.05,2.79
2023-01-05 12:00:00+00:00,long,sell - direction_change,16816.4,16827.0,1028.32,0.01,2.8
2023-01-05 12:00:00+00:00,short,buy,16827.0,,1027.81,-0.05,2.75
2023-01-05 14:00:00+00:00,short,sell - direction_change,16827.0,16771.0,1030.71,0.28,3.04
2023-01-05 14:00:00+00:00,long,buy,16771.0,,1030.2,-0.05,2.99
2023-01-05 17:00:00+00:00,long,sell - direction_change,16771.0,16833.0,1033.49,0.32,3.31
2023-01-05 17:00:00+00:00,short,buy,16833.0,,1032.98,-0.05,3.26
2023-01-05 18:00:00+00:00,short,sell - direction_change,16833.0,16806.8,1034.07,0.11,3.36
2023-01-05 18:00:00+00:00,long,buy,16806.8,,1033.55,-0.05,3.31
2023-01-06 01:00:00+00:00,long,sell - direction_change,16806.8,16852.1,1035.82,0.22,3.53
2023-01-06 01:00:00+00:00,short,buy,16852.1,,1035.3,-0.05,3.48
2023-01-06 02:00:00+00:00,short,sell - direction_change,16852.1,16818.1,1036.87,0.15,3.63
2023-01-06 02:00:00+00:00,long,buy,16818.1,,1036.35,-0.05,3.58
2023-01-06 04:00:00+00:00,long,sell - direction_change,16818.1,16825.0,1036.26,-0.01,3.57
2023-01-06 04:00:00+00:00,short,buy,16825.0,,1035.74,-0.05,3.52
2023-01-06 15:00:00+00:00,short,sell - direction_change,16825.0,16743.0,1040.27,0.44,3.96
2023-01-06 15:00:00+00:00,long,buy,16743.0,,1039.75,-0.05,3.91
2023-01-07 08:00:00+00:00,long,sell - direction_change,16743.0,16939.8,1051.45,1.13,5.04
2023-01-07 08:00:00+00:00,short,buy,16939.8,,1050.93,-0.05,4.99
2023-01-07 09:00:00+00:00,short,sell - direction_change,16939.8,16922.1,1051.5,0.05,5.04
2023-01-07 09:00:00+00:00,long,buy,16922.1,,1050.97,-0.05,4.99
2023-01-07 16:00:00+00:00,long,sell - direction_change,16922.1,16934.5,1051.22,0.02,5.01
2023-01-07 16:00:00+00:00,short,buy,16934.5,,1050.69,-0.05,4.96
2023-01-07 17:00:00+00:00,short,sell - direction_change,16934.5,16916.4,1051.29,0.06,5.02
2023-01-07 17:00:00+00:00,long,buy,16916.4,,1050.77,-0.05,4.97
2023-01-08 00:00:00+00:00,long,sell - direction_change,16916.4,16936.5,1051.49,0.07,5.04
2023-01-08 00:00:00+00:00,short,buy,16936.5,,1050.96,-0.05,4.99
2023-01-08 02:00:00+00:00,short,sell - direction_change,16936.5,16924.9,1051.16,0.02,5.01
2023-01-08 02:00:00+00:00,long,buy,16924.9,,1050.63,-0.05,4.96
2023-01-08 09:00:00+00:00,long,sell - direction_change,16924.9,16938.8,1050.97,0.03,4.99
2023-01-08 09:00:00+00:00,short,buy,16938.8,,1050.44,-0.05,4.94
2023-01-08 10:00:00+00:00,short,sell - direction_change,16938.8,16927.4,1050.63,0.02,4.96
2023-01-08 10:00:00+00:00,long,buy,16927.4,,1050.1,-0.05,4.91
2023-01-08 11:00:00+00:00,long,sell - direction_change,16927.4,16930.8,1049.79,-0.03,4.88
2023-01-08 11:00:00+00:00,short,buy,16930.8,,1049.26,-0.05,4.83
2023-01-08 14:00:00+00:00,short,sell - direction_change,16930.8,16924.1,1049.15,-0.01,4.82
2023-01-08 14:00:00+00:00,long,buy,16924.1,,1048.63,-0.05,4.77
2023-01-08 16:00:00+00:00,long,sell - direction_change,16924.1,16990.9,1052.24,0.34,5.11
2023-01-08 16:00:00+00:00,short,buy,16990.9,,1051.72,-0.05,5.06
2023-01-08 20:00:00+00:00,short,sell - direction_change,16990.9,16920.3,1055.56,0.37,5.43
2023-01-08 20:00:00+00:00,long,buy,16920.3,,1055.03,-0.05,5.38
2023-01-09 21:00:00+00:00,long,sell - direction_change,16920.3,17212.8,1072.74,1.68,7.06
2023-01-09 21:00:00+00:00,short,buy,17212.8,,1072.21,-0.05,7.01
2023-01-09 22:00:00+00:00,short,sell - direction_change,17212.8,17172.5,1074.18,0.18,7.19
2023-01-09 22:00:00+00:00,long,buy,17172.5,,1073.64,-0.05,7.14
2023-01-09 23:00:00+00:00,long,sell - direction_change,17172.5,17197.9,1074.7,0.1,7.24
2023-01-09 23:00:00+00:00,short,buy,17197.9,,1074.16,-0.05,7.19
2023-01-10 00:00:00+00:00,short,sell - direction_change,17197.9,17169.6,1075.39,0.11,7.3
2023-01-10 00:00:00+00:00,long,buy,17169.6,,1074.85,-0.05,7.25
2023-01-10 01:00:00+00:00,long,sell - direction_change,17169.6,17211.0,1076.9,0.19,7.44
2023-01-10 01:00:00+00:00,short,buy,17211.0,,1076.37,-0.05,7.39
