datetime,predicted_direction,action,buy_price,sell_price,balance,pnl,pnl_sum
2023-01-04 11:00:00+00:00,long,buy,16837.9,,999.5,-0.05,-0.05
2023-01-04 20:00:00+00:00,long,sell - direction_change,16837.9,16835.9,998.88,-0.06,-0.11
2023-01-04 20:00:00+00:00,short,buy,16835.9,,998.38,-0.05,-0.16
2023-01-04 23:00:00+00:00,short,sell - direction_change,16835.9,16818.7,998.9,0.05,-0.11
2023-01-04 23:00:00+00:00,long,buy,16818.7,,998.4,-0.05,-0.16
2023-01-05 00:00:00+00:00,long,sell - direction_change,16818.7,16842.2,999.3,0.09,-0.07
2023-01-05 00:00:00+00:00,short,buy,16842.2,,998.8,-0.05,-0.12
2023-01-05 15:00:00+00:00,short,sell - direction_change,16842.2,16822.6,999.46,0.07,-0.05
2023-01-05 15:00:00+00:00,long,buy,16822.6,,998.96,-0.05,-0.1
2023-01-05 16:00:00+00:00,long,sell - direction_change,16822.6,16836.7,999.3,0.03,-0.07
2023-01-05 16:00:00+00:00,short,buy,16836.7,,998.8,-0.05,-0.12
2023-01-05 18:00:00+00:00,short,sell - direction_change,16836.7,16806.8,1000.08,0.13,0.01
2023-01-05 18:00:00+00:00,long,buy,16806.8,,999.58,-0.05,-0.04
2023-01-05 23:00:00+00:00,long,sell - direction_change,16806.8,16829.9,1000.45,0.09,0.05
2023-01-05 23:00:00+00:00,short,buy,16829.9,,999.95,-0.05,-0.0
2023-01-06 00:00:00+00:00,short,sell - direction_change,16829.9,16823.8,999.81,-0.01,-0.02
2023-01-06 00:00:00+00:00,long,buy,16823.8,,999.31,-0.05,-0.07
2023-01-06 01:00:00+00:00,long,sell - direction_change,16823.8,16852.1,1000.49,0.12,0.05
2023-01-06 01:00:00+00:00,short,buy,16852.1,,999.99,-0.05,-0.0
2023-01-06 02:00:00+00:00,short,sell - direction_change,16852.1,16818.1,1001.51,0.15,0.15
2023-01-06 02:00:00+00:00,long,buy,16818.1,,1001.01,-0.05,0.1
2023-01-06 04:00:00+00:00,long,sell - direction_change,16818.1,16825.0,1000.92,-0.01,0.09
2023-01-06 04:00:00+00:00,short,buy,16825.0,,1000.42,-0.05,0.04
2023-01-06 15:00:00+00:00,short,sell - direction_change,16825.0,16743.0,1004.79,0.44,0.48
2023-01-06 15:00:00+00:00,long,buy,16743.0,,1004.29,-0.05,0.43
2023-01-07 08:00:00+00:00,long,sell - direction_change,16743.0,16939.8,1015.59,1.13,1.56
2023-01-07 08:00:00+00:00,short,buy,16939.8,,1015.09,-0.05,1.51
2023-01-07 14:00:00+00:00,short,sell - direction_change,16939.8,16911.9,1016.25,0.11,1.62
2023-01-07 14:00:00+00:00,long,buy,16911.9,,1015.74,-0.05,1.57
2023-01-07 16:00:00+00:00,long,sell - direction_change,16911.9,16934.5,1016.59,0.08,1.65
2023-01-07 16:00:00+00:00,short,buy,16934.5,,1016.08,-0.05,1.6
2023-01-07 18:00:00+00:00,short,sell - direction_change,16934.5,16923.2,1016.25,0.02,1.62
2023-01-07 18:00:00+00:00,long,buy,16923.2,,1015.75,-0.05,1.57
2023-01-08 00:00:00+00:00,long,sell - direction_change,16923.2,16936.5,1016.04,0.03,1.6
2023-01-08 00:00:00+00:00,short,buy,16936.5,,1015.53,-0.05,1.55
2023-01-08 03:00:00+00:00,short,sell - direction_change,16936.5,16925.5,1015.68,0.01,1.56
2023-01-08 03:00:00+00:00,long,buy,16925.5,,1015.17,-0.05,1.51
2023-01-08 04:00:00+00:00,long,sell - direction_change,16925.5,16938.9,1015.47,0.03,1.54
2023-01-08 04:00:00+00:00,short,buy,16938.9,,1014.96,-0.05,1.49
2023-01-08 05:00:00+00:00,short,sell - direction_change,16938.9,16930.8,1014.94,-0.0,1.49
2023-01-08 05:00:00+00:00,long,buy,16930.8,,1014.43,-0.05,1.44
2023-01-08 09:00:00+00:00,long,sell - direction_change,16930.8,16938.8,1014.4,-0.0,1.44
2023-01-08 09:00:00+00:00,short,buy,16938.8,,1013.9,-0.05,1.39
2023-01-08 10:00:00+00:00,short,sell - direction_change,16938.8,16927.4,1014.07,0.02,1.41
2023-01-08 10:00:00+00:00,long,buy,16927.4,,1013.56,-0.05,1.36
2023-01-08 11:00:00+00:00,long,sell - direction_change,16927.4,16930.8,1013.26,-0.03,1.33
2023-01-08 11:00:00+00:00,short,buy,16930.8,,1012.75,-0.05,1.28
2023-01-08 14:00:00+00:00,short,sell - direction_change,16930.8,16924.1,1012.65,-0.01,1.27
2023-01-08 14:00:00+00:00,long,buy,16924.1,,1012.14,-0.05,1.22
2023-01-08 16:00:00+00:00,long,sell - direction_change,16924.1,16990.9,1015.63,0.34,1.56
2023-01-08 16:00:00+00:00,short,buy,16990.9,,1015.12,-0.05,1.51
2023-01-08 20:00:00+00:00,short,sell - direction_change,16990.9,16920.3,1018.83,0.37,1.88
2023-01-08 20:00:00+00:00,long,buy,16920.3,,1018.33,-0.05,1.83
2023-01-09 20:00:00+00:00,long,sell - direction_change,16920.3,17285.6,1039.8,2.11,3.93
2023-01-09 20:00:00+00:00,short,buy,17285.6,,1039.28,-0.05,3.88
2023-01-10 00:00:00+00:00,short,sell - direction_change,17285.6,17169.6,1045.74,0.62,4.51
2023-01-10 00:00:00+00:00,long,buy,17169.6,,1045.21,-0.05,4.46
2023-01-10 01:00:00+00:00,long,sell - direction_change,17169.6,17211.0,1047.21,0.19,4.65
2023-01-10 01:00:00+00:00,short,buy,17211.0,,1046.69,-0.05,4.6
2023-01-10 08:00:00+00:00,short,sell - direction_change,17211.0,17194.6,1047.16,0.05,4.64
