timestamp,open,high,low,close,volume
1767676440000,906.98,906.98,906.67,906.67,159.94
1767676500000,906.66,906.73,906.57,906.59,126.36
1767676560000,906.59,906.6,906.39,906.58,184.18
1767676620000,906.59,906.98,906.55,906.65,226.68
1767676680000,906.65,906.65,906.54,906.62,134.59
1767676740000,906.61,907.13,906.52,907.13,208.34
1767676800000,907.12,907.59,906.82,906.82,209.24
1767676860000,906.82,906.87,906.67,906.67,123.15
1767676920000,906.68,906.73,906.37,906.38,178.91
1767676980000,906.38,906.8,906.37,906.8,104.46
1767677040000,906.8,906.8,906.35,906.35,98.38
1767677100000,906.35,906.36,904.0,905.29,4639.83
1767677160000,905.3,905.31,905.0,905.31,517.35
1767677220000,905.31,905.66,905.31,905.54,366.88
1767677280000,905.54,905.83,905.54,905.58,170.28
1767677340000,905.59,905.71,904.64,905.02,1048.67
1767677400000,905.02,905.66,905.01,905.39,189.72
1767677460000,905.39,906.0,905.37,905.99,211.45
1767677520000,905.99,906.22,905.62,905.7,160.78
1767677580000,905.69,905.7,905.5,905.51,126.11
1767677640000,905.51,905.53,905.32,905.46,250.99
1767677700000,905.46,906.0,905.02,905.89,1046.46
1767677760000,905.88,906.01,905.55,905.85,354.5
1767677820000,905.85,905.85,905.65,905.73,166.29
1767677880000,905.74,905.87,905.41,905.79,130.5
1767677940000,905.8,906.17,905.61,906.13,198.13
1767678000000,906.14,906.14,905.75,905.75,296.54
1767678060000,905.75,905.76,905.57,905.65,134.75
1767678120000,905.64,905.75,905.25,905.33,162.19
1767678180000,905.32,905.64,905.32,905.63,132.99
1767678240000,905.63,905.64,905.18,905.18,62.0
1767678300000,905.18,905.27,905.1,905.21,136.59
1767678360000,905.21,905.35,905.21,905.35,69.86
1767678420000,905.35,905.49,904.98,905.48,336.54
1767678480000,905.49,905.49,904.95,904.96,122.37
1767678540000,904.95,905.97,904.95,905.97,143.2
1767678600000,905.96,906.04,905.82,906.03,71.17
1767678660000,906.04,906.26,906.04,906.14,161.48
1767678720000,906.15,906.44,906.15,906.44,66.01
1767678780000,906.44,906.59,906.02,906.51,114.93
1767678840000,906.5,906.59,906.04,906.27,374.82
1767678900000,906.26,906.33,904.95,905.33,2336.85
1767678960000,905.32,905.59,905.32,905.5,255.98
1767679020000,905.5,905.85,905.49,905.75,78.67
1767679080000,905.75,905.75,905.57,905.65,88.71
1767679140000,905.66,906.13,905.65,906.13,233.55
1767679200000,906.13,906.66,905.97,906.65,341.94
1767679260000,906.65,906.78,906.58,906.77,147.05
1767679320000,906.76,906.87,906.69,906.8,115.83
1767679380000,906.8,906.8,905.87,906.02,865.96
1767679440000,906.02,906.34,906.02,906.32,116.3
1767679500000,906.31,906.32,905.57,905.57,264.22
1767679560000,905.58,906.2,905.25,906.2,386.37
1767679620000,906.2,906.65,906.15,906.65,121.07
1767679680000,906.64,907.1,906.64,907.01,136.28
1767679740000,907.01,907.41,907.0,907.0,555.49
1767679800000,907.01,907.18,906.82,907.18,186.65
1767679860000,907.17,907.84,907.17,907.84,208.68
1767679920000,907.84,908.33,907.84,908.3,478.66
